Id,EventName,TriggerCondition,EffectType,EffectValue,Duration,Description,Priority
evt_auspicious_balanced,AuspiciousBalanced,BalanceScoreAbove80,Multiple,1.3;1.2;1.5,3days,完美平衡3天触发：作物品质+30%，茶灵概率+20%，访客好感+50%,High
evt_auspicious_cloud_dominant,AuspiciousCloudDominant,ElementDominantCloud,CloudBoost,1.4;1.2,2days,云元素偏盛触发：云茶品质+40%，云系灵兽活跃+20%,Medium
evt_auspicious_tide_dominant,AuspiciousTideDominant,ElementDominantTide,TideBoost,1.4;1.2,2days,潮元素偏盛触发：潮系作物+40%，浊灵刷新加快,Medium
evt_auspicious_mist,AuspiciousMist,EcoAuraLevel80AndMist,SpecialBoost,1.5;1.3,1day,高灵气+薄雾触发：茶灵现身概率翻倍,High
evt_auspicious_breath,BloomingBreath,EcoAuraLevel90,AllBoost,1.5;1.3;1.2,3days,庄园充盈状态触发：全收益+50%,Rare
evt_auspicious_spring_bloom,SpringSpiritBloom,EcoAuraLevel70AndSpring,PlantGrowthBoost,1.5,1day,高灵气+春季触发：所有作物加速生长,Medium
evt_auspicious_autumn_harvest,GoldenHarvest,EcoAuraLevel70AndAutumn,HarvestBonus,1.4;1.5,1day,高灵气+秋季触发：收获双倍,Medium
evt_auspicious_winter_calm,WinterSpiritCalm,EcoAuraLevel70AndWinter,StaminaEfficiency,1.3;1.2,3days,高灵气+冬季触发：体力消耗-30%，作物耐寒,Medium
evt_rain_light,RainSpiritNurture,RainyDay,PlantGrowthBoost,1.2,1day,雨天：植物生长加速,Low
evt_sun_morning,SunriseBlessing,SunnyMorning,HarvestBonus,1.3,1day,晴天清晨：作物品质提升,Low
evt_cloud_dense,EtherealAura,CloudDensityAbove80,TeaQualityBoost,1.4,1day,浓云海：茶叶品质提升,Low
evt_full_moon,MoonlightHarmony,FullMoon,NpcMoodBoost,1.5,1night,满月：所有NPC心情提升,Medium
evt_festival_day,SpiritualFestival,FestivalActive,AllBonus,1.3,1day,节日期间：全属性加成,Medium
evt_pollution_dark,CloudPollutionRisk,PollutionAbove70,HealthRisk,0.8,UntilCleared,污染过高：需要净化,Low
evt_tide_peak,TidePeakBonus,SpiritTideActive,SpiritBonus,1.5,3days,灵气潮汐期间：灵性提升,Medium
evt_dense_cloud_storm,DenseCloudStorm,CloudDensityAbove90,HarvestRisk,0.9,6hours,浓云海过高：可能有损失,Low
evt_ecology_decay,EcologyDecay,NoActivity7Days,AuraDecay,-10,1day,长期不维护：灵气衰减,Low
evt_ecology_neglected,EcologyNeglected,NoActivity14Days,AuraDecay,-20;BalanceShift,3days,严重忽视：灵气大幅衰减，生态失衡,Medium
evt_stagnant_quiet,StagnantQuiet,EcoAuraLevel30,SpecialEvent,0.9,1day,枯静状态：全收益降低，需要激活,Low
evt_manor_waking,ManorWaking,EcoAuraLevel50AndFirstTime,SpecialEvent,1.2,3days,庄园苏醒：首次达到平稳状态,Medium
evt_manor_prosperity,ManorProsperity,EcoAuraLevel70And3Days,SpecialEvent,1.3,7days,庄园兴盛：连续3天高灵气,Medium
evt_manor_glory,ManorGlory,EcoAuraLevel90And7Days,SpecialEvent,1.5;SpecialItem,14days,庄园繁华：连续7天高灵气,High
evt_beast_gather,SpiritBeastGathering,EcoBeastActivity80,SpecialEvent,1.4;1.2,2days,灵兽活跃：灵兽帮助概率提升,Medium
evt_rare_npc_visit,RareNpcVisit,EcoAuraLevel70AndBalanced,RareNpc,1,1day,高灵气+平衡：稀有访客出现,Low
evt_bountiful_harvest,OneNightBountiful,EcoAuraLevel85,HarvestBonus,2.0,1day,澄明状态：作物一夜成熟,High
evt_spirit_coming,SpiritComing,BalanceScoreAbove90And3Days,TeaSpiritBonus,1,3days,完美平衡3天：茶灵主动现身概率大幅提升,High
evt_wandering_traveler,WanderingTraveler,Any,SpecialEvent,1,1day,随机触发：云游商人或特殊NPC来访,Rare
evt_mysterious_gift,MysteriousGift,EcoAuraLevel80,SpecialReward,1,1day,高灵气随机触发：神秘礼物,Rare
evt_night_wonder,NightSpiritWonder,EcoAuraLevel85AndNight,SpecialBoost,1.5,1night,澄明+夜晚：夜间特殊收益,Medium
