FestivalId,DayPhase,HourStart,HourEnd,Location,ActivityType,Description,ParticipantNpcIds,RequiredItem,BonusMultiplier
spring_awakening,morning,6,9,cloud_shrine,ritual,清扫云海神社,-,broom_spirit,1.5
spring_awakening,midday,10,14,main_hall,banquet,集体宴席,all,-,2.0
spring_awakening,evening,17,21,cloud_pavilion,fireworks,烟火大会,all,lamp_oil,1.8
spring_tea_bud,morning,7,10,tea_garden,picking,采茶比赛,acha;xiaoman;ning,picking_basket,2.5
spring_tea_bud,midday,11,14,tea_workshop,craft,制茶体验,acha;he,tea_leaf_basic,1.5
spring_tea_bud,evening,18,22,cloud_pavilion,tasting,新茶品鉴,all,tea_bud_fresh,2.0
spring_date,afternoon,14,18,flower_field,date,约会时光,any_1,flower_gift,3.0
spring_date,evening,19,22,cloud_bridge,fireworks,桥上观星,any_1,star_charm,2.5
summer_lantern,morning,8,11,market,craft,制作云灯,song;yu,lantern_paper,1.5
summer_lantern,afternoon,14,17,lake_side,decoration,布置灯会,all,lantern_unlit,2.0
summer_lantern,evening,19,23,cloud_surface,release,放灯祈愿,all,lantern_oil,3.0
summer_beast_sports,morning,8,12,sports_field,contest,灵兽竞技,all,pet_food,2.0
summer_beast_sports,afternoon,15,18,sports_field,award,颁奖典礼,all,ribbon_honor,1.5
summer_hot_spring,afternoon,14,18,hot_spring,relax,温泉放松,he;mo,soap_spirit,2.5
summer_hot_spring,evening,19,22,hot_spring,story,温泉夜话,all,towel_soft,2.0
autumn_harvest,morning,7,11,farm_area,harvest,集体收割,an;ning;mo,harvest_tool,2.0
autumn_harvest,midday,12,15,main_hall,banquet,丰收宴席,all,ingredient_premium,2.5
autumn_harvest,evening,17,21,cloud_pavilion,dance,丰收舞会,all,ribbon_autumn,1.8
autumn_beast_contest,morning,9,12,contest_stage,showcase,灵兽展示,all,pet_grooming,2.0
autumn_beast_contest,afternoon,14,17,contest_stage,vote,投票评选,all,vote_charm,1.5
autumn_beast_contest,evening,18,21,cloud_pavilion,award,颁奖典礼,all,trophy_golden,2.5
autumn_memory,morning,8,11,ancestor_shrine,ritual,祭祖仪式,all,incense_spirit,1.5
autumn_memory,afternoon,14,17,cloud_memory,memory,回忆走廊,all,photo_frame,2.0
autumn_memory,evening,19,22,cloud_pavilion,letter,写给重要的人,any_1,paper_quality,3.0
winter_guard,morning,7,10,main_hall,cooking,准备年夜饭,all,ingredient_winter,2.0
winter_guard,midday,11,14,cloud_shrine,prayer,祈福仪式,all,prayer_charm,1.5
winter_guard,evening,18,24,main_hall,vigil,守岁夜话,all,candles_long,2.5
winter_grand,morning,9,12,main_hall,procession,庆典游行,all,firecrackers,2.0
winter_grand,afternoon,14,17,cloud_pavilion,ceremony,颁奖典礼,all,medal_honor,2.5
winter_grand,evening,19,24,cloud_surface,fireworks,跨年烟火,all,lantern_blessing,3.0
cloud_tide,morning,6,9,tide_shrine,ritual,潮祭准备,all,essence_vessel,1.5
cloud_tide,midday,10,14,tide_shrine,ceremony,潮祭大典,all,cloud_crystal,2.5
cloud_tide,afternoon,15,18,cloud_surface,blessing,云海赐福,all,blessing_scroll,2.0
cloud_tide,evening,19,23,tide_shrine,climax,大潮高潮,all,tide_pearl_rare,3.5
cloud_tide,night,0,3,tide_shrine,rare_spawn,稀有灵出现,all,-,5.0
