Id,Name,Rarity,ObtainMethod,Stage1Name,Stage2Name,Stage3Name,Element,Role,BattleStyle,WeatherBonus,BaseStats,Skills,GoodGift1,GoodGift2,BadGift,NpcSynergy
beast_cloud_fox,云狐,1,春季浓云海救治,幼狐,云影狐,九尾云狐,Cloud,Output,EvadeCounter,Cloud35/Tide50,HP:100/MP:80/ATK:45/DEF:30/SPD:60,cloud_dodge/passive;phantom_clone/active;nine_tail/domain,tea_mist,dew_flower,fish,Vendor/Acha
beast_mist_deer,雾鹿,2,夏季山道跟随事件,幼鹿,雾隐鹿,霜月鹿,Water,Support,CautionAlert,Cloud35/Tide50,HP:120/MP:100/ATK:35/DEF:40/SPD:50,mist_walk/passive;healing_mist/active,herb_healing,spring_water,corn,Scholar/Yu
beast_qingluan,青鸾,3,秋季云海灯会,雏鸾,彩羽鸾,九彩鸾,Feng,Output,RangeControl,Cloud40/Tide60,HP:90/MP:110/ATK:55/DEF:25/SPD:70,wind_rider/passive;feather_strike/active;rainbow_domain/domain,tea_twilight,berry_rare,weed,Artist/Qiao
beast_bamboo_spirit,竹灵,2,春季竹林种植,竹芽,竹精,竹神,Wood,Control,CaptureSpecialist,Cloud35/Tide50,HP:110/MP:90/ATK:40/DEF:35/SPD:55,grass_growth/passive;vine_trap/active;entangling_forest/domain,seed_rare,spring_water,ore,Farmer/An
beast_rock_turtle,岩龟,2,灵界遗迹挖掘,幼龟,岩壳龟,玄武龟,Earth,Tank,ShieldTaunt,Cloud35/Tide60,HP:180/MP:60/ATK:30/DEF:70/SPD:25,stone_shield/passive;reinforce/active;mountain_domain/domain,mineral_rare,herb_rare,fish,Blacksmith/Yan
beast_tea_cat,茶灵猫,2,茶园高灵气生成,茶苗,茶灵猫,茶仙猫,Water,Control,MistControl,Cloud35/Tide50,HP:100/MP:95/ATK:45/DEF:35/SPD:65,mist_harvest/passive;trickster_mist/active;chaos_domain/domain,tea_cloud,berry_rare,fish,Vendor/Acha
beast_cloud_sparrow,观云雀,1,观云台连续喂食,雀雏,云雀,星河雀,Wind,Support,IntelWarning,Cloud40/Tide100,HP:80/MP:120/ATK:40/DEF:30/SPD:80,forecast/passive;wind_arrow/active;star_guide/domain,seed_basic,spring_water,weed,Astronomer/Wanxing
beast_frost_rabbit,霜魂兔,3,冬季雪山捕捉,雪兔,霜魂兔,寒月兔,Water,Control,FreezeSlow,Cloud40/Tide60,HP:95/MP:105/ATK:50/DEF:30/SPD:75,snow_walk/passive;frost_bite/active;winter_domain/domain,tea_winter,mineral_rare,fish,Healer/He
beast_hot_spring_crab,温泉灵蟹,2,温泉区升级后,蟹苗,灵蟹,温泉蟹仙,Fire,Support,HealRestore,Cloud30/Tide50,HP:130/MP:85/ATK:35/DEF:45/SPD:40,hot_spring/passive;healing_bubble/active;paradise_domain/domain,herb_healing,mineral_rare,fish,Healer/He
beast_vine_ape,古藤猿,3,秋季古藤瓜事件,藤猴,古藤猿,通臂猿,Wuod,Control,NearCombat,Cloud35/Tide50,HP:140/MP:70/ATK:55/DEF:50/SPD:45,thick_skin/passive;vine_whiplash/active;jungle_domain/domain,berry_rare,spring_water,fish,Farmer/An
beast_shadow_wolf,界影狼,4,主线第3章,狼崽,界影狼,虚空狼,Feng,Output,EliteSpecialist,Cloud40/Tide80,HP:110/MP:100/ATK:65/DEF:35/SPD:70,shadow_step/passive;shadow_fang/active;void_domain/domain,meat_rare,herb_healing,fish,Scholar/Yu
