SpouseId,SynergyBonusType,BonusEffect,BonusValue,Condition,Description
acha,tea_quality,制茶品质提升,20%,always,夫妻同心，茶香更浓
acha,harvest_speed,采茶速度提升,15%,always,夫妻配合，效率加倍
acha,guest_favor,来客好感提升,10%,always,阿茶的招待更热情
yu,study_exp,研习经验提升,25%,always,学术讨论增进理解
yu,spirit_insight,灵界洞察提升,15%,always,于的学问助你探索
yu,forecast_accuracy,天气预报准确,100%,always,于的预测从不失误
qiao,art_value,艺术品价值提升,30%,always,在晴的指导下，作品更有灵韵
qiao,festival_joy,节日欢乐度,20%,always,晴的艺术装点山庄
qiao,guest_entertain,宾客招待,15%,always,晴的表演让宾客流连
he,stamina_recovery,体力恢复提升,20%,always,和的照料无微不至
he,debuff_resist,负面状态抵抗,25%,always,和的药膳强身健体
he,cooking_quality,料理品质提升,20%,always,和的厨艺日益精进
ning,flower_growth,花朵生长加速,25%,always,宁的花园生机勃勃
ning,crop_yield,作物产量提升,15%,always,宁的农艺增产增收
ning,pollution_resist,污染抵抗提升,20%,always,宁的植被净化空气
an,farm_yield,农业产量提升,20%,always,安的耕作技术一流
an,tool_durability,工具耐久提升,25%,always,安的保养让工具更耐用
an,animal_happiness,灵兽快乐度,15%,always,安照顾下的灵兽更幸福
song,trade_discount,商店折扣,10%,always,松的商店给家人优惠
song,trade_income,交易收入提升,15%,always,松的商业头脑让收益增加
song,market_info,市场情报,always,accurate,松的市场信息总是准确
wanxing,celestial_drop,星宙产物掉落,25%,always,万星的观测带来星辰恩赐
wanxing,forecast_advance,天气预报提前,3days,always,万星总能提前预知天气
wanxing,rare_event,稀有事件触发,15%,always,万星的指引引向奇遇
xiaoman,tea_yield,茶叶产量提升,20%,always,小满的茶园管理一流
xiaoman,tea_quality,制茶品质提升,25%,always,小满的指导让茶更香
xiaoman,herb_growth,草药生长,15%,always,小满懂得植物的习性
mo,forge_quality,锻造品质提升,20%,always,墨的技艺炉火纯青
mo,tool_upgrade,工具升级成功率,15%,always,墨的锻造让工具更强
mo,ore_yield,矿石产出,20%,always,墨对矿石有敏锐的直觉
lin,ritual_power,祭祀威力提升,25%,always,林的仪式更有力量
lin,blessing_power,祝福效果提升,20%,always,林的祈福更灵验
lin,aura_growth,灵气增长,15%,always,林的修行带动全家
yan,weapon_power,武器威力提升,20%,always,严的武器削铁如泥
yan,forge_success,锻造成功率,15%,always,严的技艺减少失败
yan,defense_bonus,防御加成,10%,always,严打造的护甲更坚固
