Id,UnlockReward,Description
unlock_1,StaminaMax+10,完成新手教程，体力上限提升
unlock_2,NewTool_TeaShears,解锁采茶剪刀工具
unlock_3,FarmingPlot+2,解锁更多农田
unlock_4,WeaponEquip,解锁装备系统
unlock_5,BattleZoneUnlock_zone_cloud_mist,解锁云雾之境战斗区域
unlock_6,PetAdoption,解锁灵兽领养
unlock_7,WorkshopAccess,解锁工坊系统
unlock_8,TeaGardenAccess,解锁茶园系统
unlock_9,CloudSeaForecast,解锁云海预报
unlock_10,DailyQuest,解锁每日任务
unlock_11,WeeklyDelivery,解锁每周送货
unlock_12,InnAccess,解锁客栈系统
unlock_13,SpiritRealmAccess,解锁灵域系统
unlock_14,WeddingSystem,解锁告白/婚礼系统
unlock_15,DiaryAccess,解锁山庄日记
