id,name,description,condition,reward
first_pet,初识伙伴,收养第一只宠物,pet_adopted==true,gold+100
home_designer,家园设计师,家园装饰度达到20,decoration_score>=20,title+设计师
beast_bond,灵兽羁绊,首次完成灵兽喂食互动,beast_feed>=1,gold+150
small_tycoon,初具规模,金币达到3000,gold>=3000,gold+200
first_crop,初次收获,收获你的第一个作物,harvest_count>=1,gold+100
ten_crops,小有规模,累计收获100个作物,total_harvest>=100,gold+500
full_heart,心心相印,与任意NPC好感度达到8心,any_npc_favor>=2000,title+知心人
tea_master,茶道入门,累计制作茶包50个,tea_pack_count>=50,gold+300
tea_legend,不朽灵茶,制作1份不朽灵茶,immortal_tea>=1,title+茶圣
cloud_friend,云海同调,连续7天记录云海预报,forecast_check_days>=7,item+cloud_dew
festival_goer,节日常客,参与任意5次节日,festival_join_count>=5,gold+400
tide_witness,潮汐见证者,经历3次大潮,tide_count>=3,item+star_fragment
shop_habit,常客优惠,在商店购买累计30次,shop_buy_count>=30,gold+250
merchant_soul,贸易达人,累计出售物品200件,sell_count>=200,gold+600
builder_lv2,翻新之家,主屋升至2级,main_house_level>=2,item+Wood
builder_lv3,大宅新生,主屋升至3级,main_house_level>=3,title+山庄主
workshop_lv3,匠心工坊,工坊升至3级,workshop_level>=3,gold+500
spirit_farmer,灵田守望者,灵界采集累计60次,spirit_harvest_count>=60,item+spirit_dust
quest_runner,委托达人,完成日常委托30个,quest_complete_count>=30,gold+450
plot_explorer,主线旅人,完成任意3章主线剧情,main_plot_chapter>=3,title+旅人
combat_rookie,初试锋芒,触发1次战斗并获胜,battle_win_count>=1,gold+120
combat_guardian,净化守护者,累计净化污染灵体50个,purified_spirit_count>=50,title+守护者
