spirit_beast_id,battle_skill_1,battle_skill_2,battle_skill_3,farming_skill_1,farming_skill_2,farming_skill_3,is_primary,unlock_heart_level,description
# ===== 云系灵兽技能配置 =====
spirit_cloud_puff,cloud_puff_mist_shelter,cloud_puff_cuddle_aura,cloud_puff_rainy_day,cloud_puff_gentle_mist,cloud_puff_cloud_cuddle,cloud_puff_rainy_joy,true,1,云绒团的核心技能配置
spirit_mist_fairy,mist_fairy_phasing,mist_fairy_invisible_mist,mist_fairy_fog_prediction,mist_fairy_swift_pass,mist_fairy_fog_cover,mist_fairy_scout_weather,true,1,雾灵仙的核心技能配置
spirit_rain_dragon,rain_dragon_cloud_call,rain_dragon_typhoon_form,rain_dragon_drizzle_blessing,rain_dragon_cloud_summon,rain_dragon_typhoon_clean,rain_dragon_rain_blessing,true,1,雨灵龙的核心技能配置

# ===== 风系灵兽技能配置 =====
spirit_wind_sprite,wind_sprite_tail_whip,wind_sprite_zephyr_dance,wind_sprite_leaf_carriage,wind_sprite_zephyr_breeze,wind_sprite_leaf_carrier,wind_sprite_wind_wheel,true,1,风精灵的核心技能配置
spirit_leaf_herald,leaf_herald_wind_message,leaf_herald_leaf_shield,leaf_herald_swift_leaves,leaf_herald_info_gather,leaf_herald_leaf_curtain,leaf_herald_gust_spread,true,1,叶信使的核心技能配置
spirit_typhoon_king,typhoon_king_gale_roar,typhoon_king_wind_wall,typhoon_king_storm_domain,typhoon_king_gale_force,typhoon_king_storm_clean,typhoon_king_harvest_wind,true,1,风神幼崽的核心技能配置

# ===== 光系灵兽技能配置 =====
spirit_starlight_fawn,starlight_fawn_star_glow,starlight_fawn_dew_night,starlight_fawn_gentle_protect,starlight_fawn_night_glow,starlight_fawn_gentle_light,starlight_fawn_pure_dew,true,1,星辉幼鹿的核心技能配置
spirit_dawn_butterfly,dawn_butterfly_light_dance,dawn_butterfly_dawn_break,dawn_butterfly_prismatic_wing,dawn_butterfly_dawn_dance,dawn_butterfly_light_spread,dawn_butterfly_prismatic_bloom,true,1,曦光蝶的核心技能配置
spirit_solar_peacock,solar_peacock_solar_judgment,solar_peacock_feather_shield,solar_peacock_solar_aura,solar_peacock_solar_radiance,solar_peacock_golden_feather,solar_peacock_sacred_harvest,true,1,阳凤雏的核心技能配置

# ===== 土系灵兽技能配置 =====
spirit_earth_gem,earth_gem_rock_armor,earth_gem_steadfast,earth_gem_ground_anchor,earth_gem_rock_barrier,earth_gem_ground_anchor,earth_gem_stone_path,true,1,土灵石的核心技能配置
spirit_mountain_mouse,mountain_mouse_earth_build,mountain_mouse_burrow_home,mountain_mouse_loose_earth,mountain_mouse_loose_soil,mountain_mouse_root_nest,mountain_mouse_harvest_store,true,1,山岭鼠的核心技能配置
spirit_golem_core,golem_core_mountain_resist,golem_core_boulder_throw,golem_core_earthquake_stomp,golem_core_mountain_blessing,golem_core_earth_shield,golem_core_ancient_growth,true,1,石灵核的核心技能配置

# ===== 露系灵兽技能配置 =====
spirit_dew_drop,dew_drop_dew_blessing,dew_drop_morning_rinse,dew_drop_pearl_bounce,dew_drop_morning_dew,dew_drop_pearl_bounce,dew_drop_pure_crystal,true,1,灵露珠的核心技能配置
spirit_lotus_fairy,lotus_fairy_lotus_bloom,lotus_fairy_fragrant_mist,lotus_fairy_lily_pad_rest,lotus_fairy_lotus_pool,lotus_fairy_fragrant_aura,lotus_fairy_lily_throne,true,1,莲心仙子的核心技能配置
spirit_rainbow_crane,rainbow_crane_rainbow_bridge,rainbow_crane_prismatic_dash,rainbow_crane_aurora_wing,rainbow_crane_rainbow_bridge,rainbow_crane_prismatic_water,rainbow_crane_golden_harvest,true,1,虹羽鹤的核心技能配置

# ===== 潮系灵兽技能配置 =====
spirit_tide_orb,tide_orb_pulse_wave,tide_orb_high_tide,tide_orb_ebb_flow,tide_orb_tidal_wave,tide_orb_pulse_nurture,tide_orb_ocean_memory,true,1,潮汐球的核心技能配置
spirit_wave_rider,wave_rider_surf_rush,wave_rider_ocean_whisper,wave_rider_surf_rescue,wave_rider_surf_wash,wave_rider_tide_blessing,wave_rider_ocean_strength,true,1,浪行者的核心技能配置
spirit_ocean_serpent,ocean_serpent_tidal_fang,ocean_serpent_depth_prison,ocean_serpent_monsoon_fury,ocean_serpent_depth_nurture,ocean_serpent_tidal_force,ocean_serpent_monsoon_blessing,true,1,海渊蛇的核心技能配置

# ===== 暗系灵兽技能配置 =====
spirit_night_cat,night_cat_shadow_strike,night_cat_midnight_hunt,night_cat_nine_lives,night_cat_silent_guard,night_cat_midnight_watch,night_cat_nine_fortune,true,2,夜灵猫的核心技能配置
spirit_shadow_fox,shadow_fox_illusion_clone,shadow_fox_charm_weaken,shadow_fox_dark_leap,shadow_fox_illusion_cover,shadow_fox_shadow_tend,shadow_fox_moon_blessing,true,3,影狐的核心技能配置
spirit_void_owl,void_owl_all_seeing,void_owl_void_blink,void_owl_truth_judgment,void_owl_all_seeing_garden,void_owl_void_insight,void_owl_truth_harvest,true,4,虚空鸮的核心技能配置
