item_id,item_name,hunger_restore,quality_multiplier,source_tag
turnip,白萝卜,10,1.0,basic_crop
carrot,胡萝卜,9,1.0,basic_crop
potato,土豆,12,1.0,basic_crop
cabbage,卷心菜,11,1.0,basic_crop
tomato,番茄,8,1.0,basic_crop
pumpkin,南瓜,15,1.1,basic_crop
corn,玉米,10,1.0,basic_crop
rice,稻米,14,1.1,staple
wheat,小麦,12,1.0,staple
bean,豆子,9,1.0,basic_crop
apple,苹果,7,1.0,fruit
pear,梨子,7,1.0,fruit
berry,浆果,6,1.0,fruit
mushroom,蘑菇,8,1.0,forage
fish_stew,鱼汤,24,1.4,cooked
veggie_soup,蔬菜汤,20,1.3,cooked
rice_ball,饭团,22,1.3,cooked
fruit_tart,水果塔,18,1.2,cooked
onion,洋葱,7,1.0,basic_crop
garlic,大蒜,6,1.0,basic_crop
eggplant,茄子,8,1.0,basic_crop
cucumber,黄瓜,7,1.0,basic_crop
sweet_potato,红薯,13,1.1,basic_crop
radish,水萝卜,8,1.0,basic_crop
seaweed,海带,9,1.0,forage
tofu,豆腐,14,1.1,processed
noodles,面条,18,1.2,processed
tea_egg,茶叶蛋,16,1.2,cooked
stewed_pumpkin,南瓜炖,26,1.4,cooked
fried_rice,炒饭,28,1.5,cooked
fruit_tea,水果茶,12,1.1,drink
warm_milk,热牛奶,14,1.1,drink
herb_porridge,药草粥,22,1.3,cooked
grilled_fish,烤鱼,26,1.4,cooked
pickles,腌菜,15,1.1,processed
nut_mix,坚果杂拌,10,1.0,forage
