Id,NpcId,Stage,DialogueType,DialogueText,OptionText,NextDialogueId,EffectPoints
dial_1,lingxiao,Stage1,Greeting,你好，欢迎来到茶室。,,dial_2,0
dial_2,lingxiao,Stage1,Normal,今天的云海真美啊。,,dial_3,2
dial_3,lingxiao,Stage2,Greeting,又见面了呢。,,dial_4,0
dial_4,lingxiao,Stage2,Normal,你学得很快，茶叶的品质越来越好了。,,None,5
dial_5,lingxiao,Stage3,Greeting,朋友，你来啦。,,dial_6,0
dial_6,lingxiao,Stage3,Normal,茶道不仅是泡茶，更是修心。,,None,8
dial_7,lingxiao,Stage4,Greeting,知己，你来啦。,,dial_8,0
dial_8,lingxiao,Stage4,Normal,和你一起品茶，是最快乐的时光。,,None,10
dial_9,lingxiao,Stage5,Greeting,挚友。,,dial_10,0
dial_10,lingxiao,Stage5,Normal,希望我们能一直这样。,,None,15
dial_11,lingxiao,Stage6,Greeting,你...来了。,,dial_12,0
dial_12,lingxiao,Stage6,Normal,我一直在等你。告白选项,告白,None,50
dial_1,qingfeng,Stage1,Greeting,...,,dial_2,0
dial_2,qingfeng,Stage1,Normal,山林里很安静。,,None,2
dial_3,qingfeng,Stage2,Greeting,...你来了。,,dial_4,0
dial_4,qingfeng,Stage2,Normal,一起去巡逻吧。,,None,5
dial_5,qingfeng,Stage3,Greeting,朋友，一起走。,,dial_6,0
dial_6,qingfeng,Stage3,Normal,你是个值得信赖的伙伴。,,None,8
