Id,BeastId,SkillName,SkillType,EffectType,BaseValue,EnergyCost,Cooldown,Range,Description,UnlockHeart
skill_cloud_fox_dodge,beast_cloud_fox,云雾闪避,Passive,Evade,30,0,0,Any,战斗中永久闪避30%攻击,0
skill_cloud_fox_phantom,beast_cloud_fox,幻影分身,Active,PhantomAttack,15,25,15,Medium,分出3个幻影迷惑目标,1
skill_cloud_fox_ninetail,beast_cloud_fox,九尾云归,Ultimate,DomainAttack,100,50,70,All,释放九尾云域，污染值持续削减,5
skill_cloud_fox_harvest,beast_cloud_fox,采茶助手,Passive,HarvestBoost,80,0,0,Any,采茶效率+80%,0
skill_cloud_fox_forecast,beast_cloud_fox,云海快报,Passive,Forecast,0,0,0,Any,浓云海天气前30分钟预警,3
skill_mist_deer_heal,beast_mist_deer,灵雾治疗,Active,Heal,50,20,12,Medium,恢复队友体力,1
skill_mist_deer_alert,beast_mist_deer,危险预警,Passive,Alert,0,0,0,Any,队友受攻击前闪避,2
skill_mist_deer_purity,beast_mist_deer,灵雾净化,Active,Purify,40,30,20,Medium,大范围净化,4
skill_qingluan_wind,beast_qingluan,风之翼,Active,WindAttack,35,20,10,Medium,风系净化攻击,1
skill_qingluan_range,beast_qingluan,羽刃阵,Active,RangeAttack,50,35,15,Large,远程范围攻击,3
skill_qingluan_rainbow,beast_qingluan,虹光领域,Ultimate,PurifyDomain,80,45,60,All,虹光净化领域,5
skill_bamboo_vine,beast_bamboo_spirit,藤蔓陷阱,Active,Trap,0,15,8,Medium,限制敌人移动,1
skill_bamboo_growth,beast_bamboo_spirit,竹藤催生,Active,GrowthBoost,100,25,30,Medium,催生周围作物,3
skill_bamboo_entangle,beast_bamboo_spirit,缠缚森林,Ultimate,EntangleDomain,60,40,50,All,大范围缠绕控制,5
skill_rock_shield,beast_rock_turtle,岩甲护盾,Active,Shield,80,20,15,Self,为目标添加护盾,1
skill_rock_reinforce,beast_rock_turtle,岩壳强化,Active,DefBoost,50,25,20,Self,提升防御力,3
skill_rock_mountain,beast_rock_turtle,山岳领域,Ultimate,ShieldDomain,120,45,70,All,护盾领域,5
skill_tea_cat_mist,beast_tea_cat,茶雾迷惑,Active,Confuse,20,15,10,Medium,使敌人命中率降低,1
skill_tea_cat_harvest,beast_tea_cat,浓云采集,Passive,HarvestBoost,50,0,0,Any,浓云天气采茶效率翻倍,2
skill_tea_cat_chaos,beast_tea_cat,混沌领域,Ultimate,ChaosDomain,70,40,60,All,混乱领域使敌人互相攻击,5
skill_cloud_sparrow_forecast,beast_cloud_sparrow,云海预报,Passive,Forecast,0,0,0,Any,提前3天预报天气,0
skill_cloud_sparrow_arrow,beast_cloud_sparrow,风刃净化,Active,WindAttack,30,15,8,Medium,风系净化攻击,1
skill_cloud_sparrow_guide,beast_cloud_sparrow,星河指引,Ultimate,GuideDomain,90,40,55,All,指引净化领域,5
skill_frost_chill,beast_frost_rabbit,寒霜攻击,Active,ColdAttack,40,20,12,Medium,冰系减速攻击,1
skill_frost_freeze,beast_frost_rabbit,冰霜领域,Active,FreezeArea,60,30,18,Large,大范围冰冻控制,3
skill_frost_winter,beast_frost_rabbit,凛冬领域,Ultimate,WinterDomain,100,50,65,All,寒冬净化领域,5
skill_hot_crab_heal,beast_hot_spring_crab,温泉气泡,Active,HealOverTime,30,15,10,Medium,持续治疗,1
skill_hot_crab_spring,beast_hot_spring_crab,灵泉治愈,Active,Heal,60,25,15,Medium,大量恢复体力,3
skill_hot_crab_paradise,beast_hot_spring_crab,温泉仙境,Ultimate,ParadiseDomain,80,40,60,All,温泉治疗领域,5
skill_vine_entangling,beast_vine_ape,藤蔓缠绕,Active,Entangle,30,20,12,Medium,限制移动并造成伤害,1
skill_vine_reinforce,beast_vine_ape,强化藤蔓,Active,ATKBoost,40,25,18,Self,提升自身攻击,3
skill_vine_jungle,beast_vine_ape,密林领域,Ultimate,JungleDomain,90,45,55,All,藤蔓缠绕领域,5
skill_shadow_strike,beast_shadow_wolf,影牙斩,Active,ShadowAttack,50,25,12,Medium,暗影净化攻击,1
skill_shadow_step,beast_shadow_wolf,暗影步,Active,Teleport,0,15,8,Self,瞬间移动到目标身后,3
skill_shadow_void,beast_shadow_wolf,虚空领域,Ultimate,VoidDomain,120,50,70,All,虚空净化领域,5
skill_dragon_aura,beast_proto_dragon,龙之威压,Passive,ATKBoost,30,0,0,Any,全队攻击+30,0
skill_dragon_fire,beast_proto_dragon,龙焰净化,Active,FireAttack,70,35,15,Large,龙焰范围净化,3
skill_dragon_chaos,beast_proto_dragon,混沌太初,Ultimate,ChaosDomain,150,60,90,All,太初混沌领域,5
skill_butterfly_dance,beast_jade_butterfly,花舞,Passive,SpeedBoost,20,0,0,Any,全队速度+20%,0
skill_butterfly_boost,beast_jade_butterfly,群体加速,Active,GroupBoost,40,20,12,Medium,提升全队行动速度,2
skill_butterfly_flurry,beast_jade_butterfly,蝶翼风暴,Ultimate,FlurryDomain,80,40,55,All,蝶翼净化风暴,5
skill_wind_fox_gale,beast_wind_fox,风暴突袭,Active,WindAttack,45,20,10,Medium,风系高速攻击,1
skill_wind_fox_speed,beast_wind_fox,风之加速,Active,SpeedBoost,60,25,15,Self,大幅提升速度,3
skill_wind_fox_storm,beast_wind_fox,暴风领域,Ultimate,StormDomain,100,45,60,All,暴风净化领域,5
skill_thunder_call,beast_thunder_sparrow,雷鸣呼唤,Passive,CritBoost,20,0,0,Any,暴击率+20%,0
skill_thunder_strike,beast_thunder_sparrow,雷击净化,Active,ThunderAttack,55,25,12,Large,雷电范围攻击,2
skill_thunder_domain,beast_thunder_sparrow,雷霆领域,Ultimate,ThunderDomain,110,50,65,All,雷霆净化领域,5
skill_herb_heal,beast_ginger_spirit,灵芝治愈,Active,Heal,55,20,12,Medium,治疗队友,1
skill_herb_shield,beast_ginger_spirit,灵芝护盾,Active,Shield,70,25,15,Medium,添加护盾,3
skill_herb_rejuvenate,beast_ginger_spirit,复苏领域,Ultimate,RejuvenateDomain,90,45,60,All,生命复苏领域,5
skill_star_stardust,beast_stardust_deer,星尘净化,Active,StarAttack,55,25,12,Medium,星尘攻击,1
skill_star_crit,beast_stardust_deer,星尘暴击,Active,CritAttack,80,30,15,Medium,暴击净化,3
skill_star_galaxy,beast_stardust_deer,银河领域,Ultimate,GalaxyDomain,130,55,75,All,银河净化领域,5
skill_dream_confuse,beast_cloud_dream,梦雾迷惑,Active,Confuse,30,20,12,Medium,使敌人迷惑,1
skill_dream_walk,beast_cloud_dream,梦境漫步,Active,Phantom,0,15,10,Self,进入梦境无敌,3
skill_dream_eternal,beast_cloud_dream,永恒梦境,Ultimate,DreamDomain,100,45,60,All,永恒梦境领域,5
skill_jade_heal,beast_jade_spring,玉泉治愈,Active,Heal,70,25,15,Medium,大量治疗,1
skill_jade_fountain,beast_jade_spring,灵泉灌注,Active,ManaHeal,50,30,20,Large,恢复体力与灵气,3
skill_jade_heavenly,beast_jade_spring,天河领域,Ultimate,HeavenlyDomain,120,50,70,All,天河治愈领域,5
skill_phoenix_rebirth,beast_cloud_fire,凤凰涅槃,Passive,Rebirth,0,0,0,Any,死亡时自动复活,0
skill_phoenix_fire,beast_cloud_fire,云火斩,Active,FireAttack,75,30,15,Large,云火净化攻击,3
skill_phoenix_primordial,beast_cloud_fire,太初之焰,Ultimate,PrimordialDomain,150,55,80,All,太初净化领域,5
