Id,AreaId,EnemyType,MinCount,MaxCount,SpawnWeight,BasePollution,SpecialTrait,DropTable,LootRate
encounter_cloud_wisp,area_cloud_shore,spirit_cloud_wisp,1,3,60,20,None,cloud_essencex1,0.8
encounter_wind_faerie,area_cloud_shore,spirit_wind_faerie,1,2,40,25,None,wind_essencex1,0.7
encounter_mist_valley_pack,area_mist_valley,spirit_cloud_wisp,2,4,50,30,PackBonus,cloud_essencex2,0.9
encounter_water_sprite,area_mist_valley,spirit_water_sprite,1,2,30,35,None,water_essencex1,0.6
encounter_wind_swirl,area_mist_valley,spirit_wind_faerie,2,3,40,40,WindShield,wind_essencex2,0.75
encounter_tide_guardian,area_tide_bridge,spirit_tide_guardian,1,1,100,60,Elite,sea_essencex3;tide_pearlx1,1.0
encounter_flame_imp,area_flame_springs,spirit_flame_imp,2,3,50,50,None,fire_essencex2,0.8
encounter_water_fire_conflict,area_flame_springs,spirit_water_sprite,1,2,30,45,ElementConflict,water_essencex2,0.7
encounter_ice_spirit,area_frost_path,spirit_ice_spirit,2,3,60,70,None,ice_crystalx2,0.85
encounter_frost_herald,area_frost_path,spirit_frost_herald,1,2,40,85,FrostAura,blizzard_shardx2,0.9
encounter_ice_guardian,area_ice_shrine,spirit_ice_spirit,2,4,30,100,Boss,ice_crystalx5;frozen_heartx1,1.0
encounter_void_shade,area_ice_shrine,spirit_void_shade,1,2,30,110,Corruption,void_crystalx2,0.8
encounter_frost_king,area_ice_shrine,spirit_frost_herald,1,1,40,120,Boss,blizzard_shardx5;frost_crownx1,1.0
encounter_flame_horde,area_blaze_corridor,spirit_flame_imp,3,5,40,90,Swarm,fire_essencex3,0.95
encounter_thunder_herald,area_blaze_corridor,spirit_thunder_herald,1,2,30,100,None,thunder_essencex2,0.85
encounter_fire_golem,area_inferno_core,spirit_fire_golem,1,2,35,130,Boss,fire_essencex5;molten_corex1,1.0
encounter_phoenix_rare,area_inferno_core,spirit_phoenix_essence,0,1,2,Rare,Rebirth,phoenix_featherx1,0.1
encounter_void_lord,area_shadow_hall,spirit_void_lord,1,1,50,150,Boss,void_crystalx5;dark_essencex3,1.0
encounter_corruption_horde,area_shadow_hall,spirit_corruption_spirit,2,4,50,130,Corruption,corruption_shardx3,0.9
encounter_nightmare,area_night_garden,spirit_dream_nightmare,1,2,40,140,Confuse,nightmare_essencex2,0.8
encounter_flower_faerie,area_night_garden,spirit_flower_faerie,1,2,30,120,Heal,spirit_rosex3,0.7
encounter_celestial_guardian,area_stardust_falls,spirit_celestial_guardian,1,1,50,180,Boss,celestial_essencex5;stardustx3,1.0
encounter_star_herald,area_stardust_falls,spirit_star_herald,2,3,30,160,None,stardustx2,0.85
encounter_dragon_spirit,area_celestial_path,spirit_dragon_spirit,1,2,35,200,Elite,dragon_scalex3;celestial_essencex3,1.0
encounter_galaxy_lord,area_celestial_path,spirit_galaxy_lord,1,1,30,220,Boss,galaxy_heartx1;celestial_essencex5,1.0
encounter_chaos_origin,area_chaos_origin,spirit_chaos_origin,1,1,100,300,Boss,chaos_essencex10;origin_fragmentx2,1.0
encounter_void_lord_elite,area_chaos_origin,spirit_void_lord,2,3,50,250,Elite,void_crystalx8,1.0
encounter_chaos_guardians,area_chaos_origin,spirit_chaos_guardian,3,4,30,280,Swarm,chaos_shardx5,1.0
