Id,NpcId,MailType,TriggerType,TriggerValue,RewardGold,RewardExp,RewardItem,Description,SeasonLimit,WeatherLimit
mail_rule_1,acha,DailyShop,None,,100,50,tea_cloudx1,灵霄的每日茶推荐,any,any
mail_rule_2,lin,WeeklyGift,DayOfWeek,6,150,80,herb_healingx2,清风的每周礼物,any,any
mail_rule_3,song,Promotion,TradeAmount,500,200,100,,松年的促销活动,any,any
mail_rule_4,xiaoman,PetNews,None,,80,45,pet_foodx3,小满的灵兽近况,any,any
mail_rule_5,he,HerbAlert,Season,2,120,70,herb_rarex1,秋棠的草药提醒,spring,any
mail_rule_6,qiao,FestivalInvite,DayInSeason,15,100,55,flower_rarex1,锦时的节日邀请,any,any
mail_rule_7,mo,ArtDiscount,None,,0,0,paint_brushx1,墨的绘画折扣,any,any
mail_rule_8,yan,WisdomQuote,None,,50,30,,玄清的每日智慧,any,any
mail_rule_9,ning,GardenEvent,DayInSeason,7,70,40,flower_herbx2,宁的园艺事件,spring|summer,any
mail_rule_10,an,Alert,PollutionAbove,60,100,60,,阿巳的警报提示,any,any
mail_rule_11,yu,CloudForecast,None,,0,20,,雾川的云海预报,any,any
mail_rule_12,shu,SpecialOffer,DayInMonth,1,50,30,star_chartx1,素锦的特别优惠,any,any
mail_rule_13,ning,Birthday,WeddingDate,0,300,150,flower_bouquetx1,宁的生日祝福,autumn,any
mail_rule_14,song,Birthday,PlayerBirthday,0,300,150,special_seedsx3,松年的生日祝福,any,any
mail_rule_15,yan,Birthday,PlayerBirthday,0,300,150,meditation_matx1,玄清的生日祝福,any,any
mail_rule_16,acha,CloudDense,Weather,Cloud,200,100,tea_rarex1,阿茶的大潮前夕提醒,any,CloudDense|Tide
mail_rule_17,lin,CloudDense,Weather,Cloud,150,80,herb_premiumx2,老槐的浓云海提醒,any,CloudDense
mail_rule_18,wanxing,CloudTide,Weather,Tide,500,200,star_gemx1,晚星的大潮特别提醒,any,Tide
mail_rule_19,xiaoman,CloudTide,Weather,Tide,300,150,rare_seedx2,小满的大潮提醒,any,Tide
mail_rule_20,song,SeasonChange,Season,any,100,50,special_fertilizerx2,松年的季节变换提醒,any,any
mail_rule_21,qiao,SeasonChange,Season,any,80,40,silk_embroideryx1,锦时的季节提醒,any,any
mail_rule_22,yan,MeditationEvent,None,,150,100,spirit_stonex1,玄清的冥想活动邀请,any,any
mail_rule_23,he,MountainEvent,None,,200,120,ancient_mapx1,秋棠的山间活动邀请,any,Mist|CloudDense
mail_rule_24,ning,FlowerFestival,DayInSeason,10,250,150,rare_flowerx1,宁的花卉节邀请,spring,any
mail_rule_25,mo,ArtGalleryEvent,None,,180,100,painting_canvasx1,墨的画展邀请,any,any
mail_rule_26,yu,StargazingEvent,Weather,Clear,300,180,telescope_lensx1,雾川的观星活动邀请,autumn|winter,Clear|Night
mail_rule_27,shu,ResearchDiscovery,None,,150,120,research_notesx1,素锦的研究发现,any,any
mail_rule_28,an,WisdomSharing,DayInWeek,3,100,80,,阿巳的智慧分享,any,any
mail_rule_29,acha,TeaCeremony,None,,200,150,tea_setx1,阿茶的茶会邀请,any,Mist|CloudDense
mail_rule_30,wanxing,CloudDream,Weather,Tide,400,200,dream_catcherx1,晚星的云海梦境邀请,any,Tide
mail_rule_31,lin,AdventureInvite,None,,250,150,explorer_gearx1,老槐的探险邀请,any,CloudDense|Tide
mail_rule_32,xiaoman,BeastContest,DayInSeason,20,400,200,beast_badgex1,小满的灵兽大赛邀请,summer,any
mail_rule_33,song,MarketTrend,None,,0,50,,松年的市场趋势分析,any,any
mail_rule_34,qiao,CraftMaster,SkillLevel,5,300,200,master_threadx1,锦时的工艺大师邀请,any,any
mail_rule_35,yan,TaoistRetreat,None,,250,180,meditation_incensex1,玄清的修行闭关邀请,winter,any
mail_rule_36,mo,NightInspiration,Weather,Night,200,150,inspiration_inkx1,墨的夜间灵感,any,Night
mail_rule_37,ning,PeacefulDay,None,,80,50,serenity_teax1,宁的宁静一天,any,Mist|CloudDense
mail_rule_38,an,MentalHealth,None,,100,80,,阿巳的心灵健康建议,any,any
mail_rule_39,shu,StarAlignment,None,,350,200,celestial_compassx1,素锦的星象指引,any,Night
mail_rule_40,yu,MorningMist,Weather,Mist,150,100,mist_vialx1,雾川的晨雾之礼,any,Mist
mail_rule_41,he,TravelSeason,Season,autumn,200,120,compassx1,秋棠的旅行季提醒,autumn,any
mail_rule_42,lin,ElderWisdom,DayInWeek,7,100,100,,老槐的长者智慧,spring|summer,any
mail_rule_43,acha,NewTeaVariety,None,,180,120,tea_saplingx1,阿茶的新茶种介绍,any,any
mail_rule_44,xiaoman,BeastTraining,SkillLevel,3,150,100,training_manualx1,小满的灵兽训练手册,any,any
mail_rule_45,song,LunarNewYear,DayInYear,1,500,300,red_envelopex5,松年的新年祝福,winter,any
mail_rule_46,yan,SpringBlessing,Season,spring,250,150,blessing_charmx1,玄清的春季祝福,spring,any
mail_rule_47,qiao,AutumnHarvest,Season,autumn,300,200,silk_ribbonx2,锦时的秋收祝福,autumn,any
mail_rule_48,ning,WinterWarmth,Season,winter,200,120,warm_blanketx1,宁的冬季温暖,winter,any
mail_rule_49,mo,CreativePrompt,DayInWeek,5,100,80,creative_penx1,墨的创意提示,any,any
mail_rule_50,shu,MysteryClue,None,,150,100,mysterious_notex1,素锦的神秘线索,any,any
