Id,TeaId,Name,Rarity,SpriteId,Description,DisplaySlot,UnlockHint
spirit_initial_mist,tea_wu_mountain,MistDragon_翠雾龙,Normal,mist_dragon_sprite,春晨薄雾中凝结的翠色小龙，最爱在茶芽间嬉戏。,slot_center,春季清晨饮用圣品初雾绿茶
spirit_morning_dew,tea_morning_dew,DewStag_晶露鹿,Normal,dew_stag_sprite,晨露白茶凝结出的晶莹小鹿，踏露而行。,slot_left,雨后清晨饮用圣品晨露白茶
spirit_twilight_oolong,tea_twilight_oolong,Sunwing_霞翼燕,Normal,sunwing_sprite,暮霞乌龙中飞出的霞色飞燕，振翅生辉。,slot_right,夏季黄昏饮用圣品暮霞乌龙
spirit_autumn_frost,tea_autumn_frost,FrostFox_霜尾狐,Rare,frost_fox_sprite,秋霜乌龙中现身的白尾灵狐，静谧优雅。,slot_left,秋季夜晚饮用圣品秋霜乌龙
spirit_winter_snow,tea_winter_snow,SnowCrane_雪羽鹤,Rare,snow_crane_sprite,冬雪银针中飘落的雪羽仙鹤，洁白无瑕。,slot_right,冬季雪天饮用圣品冬雪银针
spirit_cloud_apex,tea_cloud_apex,GoldenSparrow_金芽灵雀,Rare,golden_sparrow_sprite,云巅金芽中诞生的金色灵雀，熠熠生辉。,slot_center,高灵气日于茶室静坐后饮用
spirit_blue_berry,tea_blue_berry,BerryFairy_云莓精,Normal,berry_fairy_sprite,云莓红茶中化现的小小精灵，活泼可爱。,slot_left,浓云海日饮用圣品云莓红茶
spirit_pine_smoke,tea_pine_smoke,PineSpirit_松烟灵,Rare,pine_spirit_sprite,松烟黑茶中袅袅升起的松烟之灵。,slot_right,冬季夜晚饮用圣品松烟黑茶
spirit_star_frost,tea_star_frost,StarFrost_星霜灵,Legendary,star_frost_sprite,星霜雪茶中凝结的寒星碎片，神秘莫测。,slot_center,大潮之夜饮用圣品星霜雪茶
spirit_rock_bone,tea_rock_bone,RockSpirit_岩骨灵,Legendary,rock_spirit_sprite,岩骨黑茶中沉睡的古老灵体，坚韧厚重。,slot_left,灵界深层饮用圣品岩骨黑茶
spirit_spirit_orchid,tea_spirit_orchid,OrchidFairy_灵兰精,Rare,orchid_fairy_sprite,灵兰花茶中绽放的花之精灵。,slot_right,春季浓云海日饮用圣品灵兰花茶
spirit_frost_needle,tea_frost_needle,FrostNeedle_霜针灵,Rare,frost_needle_sprite,霜针灵茶中凝结的冰晶精灵。,slot_center,冬季薄雾日饮用圣品霜针灵茶
spirit_moon_silver,tea_moon_silver,MoonStag_望月银鹿,Legendary,moon_stag_sprite,望月银茶中映出的月下银鹿，高贵典雅。,slot_center,秋日夜间饮用圣品望月银茶
spirit_summer_cloud,tea_summer_cloud,CloudLamb_夏云羔,Normal,cloud_lamb_sprite,夏云白茶中软绵绵的云朵小兽。,slot_left,夏季浓云海日饮用圣品夏云白茶
spirit_dream_cloud,tea_dream_cloud,DreamButterfly_云梦蝶,Legendary,dream_butterfly_sprite,梦云紫茶中翩然起舞的梦幻之蝶。,slot_center,大潮之夜饮用圣品梦云紫茶
spirit_tide_heart,tea_tide_heart,TideSpirit_潮心古灵,Legendary,tide_spirit_sprite,潮心古茶中沉睡千年的云海之灵。,slot_center,大潮之日饮用圣品潮心古茶
spirit_original_origin,tea_original_origin,OriginDragon_太初元灵,Legendary,origin_dragon_sprite,太初元茶中唯一的传说茶灵，见证云海沧桑。,slot_center,完美平衡生态下大潮饮用圣品太初元茶
spirit_jade_spring,tea_jade_spring,JadeDeer_玉泉鹿,Rare,jade_deer_sprite,玉泉鹿茶中奔跑的灵山之鹿。,slot_left,春季山泉旁饮用圣品玉泉鹿茶
spirit_cloud_fire,tea_cloud_fire,CloudPhoenix_云火凤,Legendary,cloud_phoenix_sprite,云火凤茶中浴火重生的圣灵。,slot_center,大潮之夜于观云台饮用圣品云火凤茶
spirit_stardust,tea_stardust,StardustStag_星尘鹿,Rare,stardust_stag_sprite,星尘鹿茶中踏星而来的灵兽。,slot_right,秋日夜晚浓云海饮用圣品星尘鹿茶
