名称,季节,生长天数,卖价（灵品）,获取方式,主要用途,备注
云狐花,春/夏,7,680,浓云海,灵兽进化材料,吸引云狐
雾鹿苔,秋,12,920,灵界遗迹,制作灵兽饲料,-
青鸾果,夏,21,1450,大潮,召唤青鸾坐骑,稀有
竹灵芽,春,6,450,普通竹林,制作轻型家具,-
星萤草,夜/全季,5,380,夜晚采集,制作夜光装饰,-
灵界莲,夏,25,2800,灵界水域,高级药剂与结婚戒指材料,主线道具
忘忧藤,秋,14,760,任意,制作忘忧茶并消除负面状态,-
雷击木,夏,30,1650,雷雨天,高级工具升级材料,危险
霜魂果,冬,18,1120,雪天,冬季灵兽进化,-
观云草,全季,4,220,观云台附近,云海预报道具,新手友好
茶魂花,春,10,1350,高灵气茶园,提升所有灵茶品质,关键升级材料
隐界芝,冬,22,1980,灵界深处,制作永久属性药,后期
锦时花,夏,9,580,任意,装饰并提升锦时好感,-
素心兰,秋,11,670,山庄后山,送素锦最高好感,-
烟梦萝,春,16,890,画师小屋附近,绘画材料,烟萝专属
温泉莲,夏,13,720,温泉区,温泉升级材料,秋棠
古山参,全季,35,3200,深山挖掘,最高级补品,极稀有
界桥果,大潮,40,5200,特殊事件,开启最终主线与多结局道具,传说级
