BeastId,Stage2Condition_Heart,Stage2Condition_PurifyLevel,Stage2Condition_Special,Stage3Condition_Heart,Stage3Condition_PurifyLevel,Stage3Condition_Special,Stage3Condition_ManorValue,EventRequired
beast_cloud_fox,3,5,茶园解锁,5,15,完成「九尾云归」终阶剧情,8000,九尾云归
beast_mist_deer,3,4,温泉开放,5,12,与雾鹿完成「晨雾之约」,6000,晨雾之约
beast_qingluan,3,6,秋季云海灯会完成,5,18,与青鸾完成「虹羽归巢」,10000,虹羽归巢
beast_bamboo_spirit,3,5,竹林升级,5,14,与竹灵完成「竹海通幽」,7000,竹海通幽
beast_rock_turtle,3,5,灵界遗迹开放,5,15,与岩龟完成「玄武之眠」,9000,玄武之眠
beast_tea_cat,3,4,茶园高灵气,5,12,与茶灵猫完成「茶香满园」,5000,茶香满园
beast_cloud_sparrow,3,3,观云台连续7天,5,10,与观云雀完成「星河归途」,4000,星河归途
beast_frost_rabbit,3,6,冬季雪山事件,5,16,与霜魂兔完成「寒月之心」,8000,寒月之心
beast_hot_spring_crab,3,4,温泉区3级,5,11,与温泉灵蟹完成「温泉仙境」,5000,温泉仙境
beast_vine_ape,3,5,古藤瓜种植完成,5,13,与古藤猿完成「通臂之力」,7000,通臂之力
beast_shadow_wolf,4,8,主线第3章完成,5,20,主线第5章完成,15000,暗影归一
beast_proto_dragon,4,10,真结局前置,5,25,全图鉴完成+真结局,20000,龙啸九天
beast_jade_butterfly,3,5,花田开放,5,14,与玉蝶完成「七彩蝶舞」,6000,七彩蝶舞
beast_wind_fox,3,6,春季山谷事件,5,15,与风铃狐完成「风暴之心」,8000,风暴之心
beast_thunder_sparrow,3,6,夏季暴雨事件,5,15,与雷雀完成「雷鹏展翅」,8500,雷鹏展翅
beast_ginger_spirit,3,4,灵界遗迹采药,5,12,与灵芝精完成「九华灵芝」,5500,九华灵芝
beast_stardust_deer,4,8,主线第4章完成,5,18,主线第6章完成,12000,星河归位
beast_cloud_dream,4,7,主线第4章完成,5,17,与云梦蝶完成「永恒之梦」,11000,永恒之梦
beast_jade_spring,4,9,主线第5章完成,5,22,主线终章完成,18000,天河归一
beast_cloud_fire,4,12,真结局前置,5,30,全图鉴+10终阶完成,25000,凤凰涅槃
