Id,Chapter,ChapterName,SubChapterId,SubChapterName,RequiredDay,RequiredLevel,RequiredPacts,RequiredItems,RequiredFlags,Description,QuestIds,RewardExp,RewardGold,RewardItems,NextSubChapter
ch1,第一章,云海初醒,ch1_1,梦中醒来,1,1,0,-,new_game,在云海山庄醒来,main_ch1_1,100,200,-,ch1_2
ch1,第一章,云海初醒,ch1_2,初识灵茶,3,2,0,采茶篮,ch1_1_complete,学习采茶基础,main_ch1_2,150,250,seed_tea_basicx2,ch1_3
ch1,第一章,云海初醒,ch1_3,第一份收获,7,3,0,茶叶x3,ch1_2_complete,完成首次采茶,main_ch1_3,200,300,woodx5,ch1_4
ch1,第一章,云海初醒,ch1_4,灵界初探,10,4,0,-,ch1_3_complete,首次进入灵界,main_ch1_4,250,350,cloud_essencex3,ch1_5
ch1,第一章,云海初醒,ch1_5,净化初成,14,5,0,云雾精华x3,ch1_4_complete,学会净化,main_ch1_5,300,400,sprit_stonex1,ch2_0
ch2,第二章,茶香四溢,ch2_1,茶园扩张,18,6,1,-,ch1_complete,扩大茶园,main_ch2_1,400,500,seed_tea_greenteax2,ch2_2
ch2,第二章,茶香四溢,ch2_2,制茶进阶,24,7,2,茶叶x10,ch2_1_complete,学习制茶进阶,main_ch2_2,500,600,tool_tea_pot_advx1,ch2_3
ch2,第二章,茶香四溢,ch2_3,结识伙伴,28,8,2,-,ch2_2_complete,认识新NPC,main_ch2_3,600,700,flower_rarex2,ch2_4
ch2,第二章,茶香四溢,ch2_4,灵兽初遇,35,9,3,-,ch2_3_complete,获得第一只灵兽,main_ch2_4,700,800,pet_foodx5,ch2_5
ch2,第二章,茶香四溢,ch2_5,茶会初办,42,10,4,-,ch2_4_complete,举办首次茶会,main_ch2_5,900,1000,tea_cloudx3,ch3_0
ch3,第三章,云海暗涌,ch3_1,阴影初现,49,12,5,-,ch2_complete,发现异常,main_ch3_1,1000,1200,dark_essencex2,ch3_2
ch3,第三章,云海暗涌,ch3_2,污染扩散,56,14,6,虚空水晶x5,ch3_1_complete,调查污染源,main_ch3_2,1200,1500,void_crystalx3,ch3_3
ch3,第三章,云海暗涌,ch3_3,界影狼现,63,16,7,-,ch3_2_complete,遇见界影狼,main_ch3_3,1500,1800,beast_shadow_wolf_1,ch3_4
ch3,第三章,云海暗涌,ch3_4,虚空裂隙,70,18,8,混沌碎片x3,ch3_3_complete,探索虚空,main_ch3_4,1800,2000,chaos_shardx2,ch3_5
ch3,第三章,云海暗涌,ch3_5,危机暂解,77,20,10,-,ch3_4_complete,暂时阻止污染,main_ch3_5,2000,2500,spirit_stonex5,ch4_0
ch4,第四章,云梦蝶舞,ch4_1,梦境之谜,84,22,11,-,ch3_complete,进入梦境,main_ch4_1,2500,3000,dream_essencex3,ch4_2
ch4,第四章,云梦蝶舞,ch4_2,花田秘境,91,24,12,-,ch4_1_complete,发现花田,main_ch4_2,3000,3500,flower_bloomx5,ch4_3
ch4,第四章,云梦蝶舞,ch4_3,云梦蝶现,98,26,13,-,ch4_2_complete,遇见云梦蝶,main_ch4_3,3500,4000,beast_cloud_dream_1,ch4_4
ch4,第四章,云梦蝶舞,ch4_4,梦醒时分,105,28,14,梦境精华x5,ch4_3_complete,解除梦境危机,main_ch4_4,4000,4500,dream_essencex5,ch4_5
ch4,第四章,云梦蝶舞,ch4_5,星尘鹿踪,112,30,15,-,ch4_4_complete,发现星尘鹿,main_ch4_5,4500,5000,stardustx2,ch5_0
ch5,第五章,星陨传说,ch5_1,星陨深渊,119,32,16,-,ch4_complete,进入星陨深渊,main_ch5_1,5000,6000,stardustx5,ch5_2
ch5,第五章,星陨传说,ch5_2,银河领主,126,34,17,银河之心x1,ch5_1_complete,击败银河领主,main_ch5_2,6000,7000,galaxy_heartx1,ch5_3
ch5,第五章,星陨传说,ch5_3,星尘鹿归,133,36,18,-,ch5_2_complete,获得星尘鹿,main_ch5_3,7000,8000,beast_stardust_deer_1,ch5_4
ch5,第五章,星陨传说,ch5_4,玉泉之秘,140,38,19,-,ch5_3_complete,发现玉泉,main_ch5_4,8000,9000,water_essencex10,ch5_5
ch5,第五章,星陨传说,ch5_5,玉泉鹿现,147,40,20,-,ch5_4_complete,遇见玉泉鹿,main_ch5_5,9000,10000,beast_jade_spring_1,ch6_0
ch6,第六章,太初回归,ch6_1,混沌前兆,154,42,21,-,ch5_complete,感知混沌,main_ch6_1,10000,12000,chaos_essencex5,ch6_2
ch6,第六章,太初回归,ch6_2,太初遗迹,161,44,22,-,ch6_1_complete,发现太初遗迹,main_ch6_2,12000,15000,origin_fragmentx3,ch6_3
ch6,第六章,太初回归,ch6_3,龙魂觉醒,168,46,23,龙鳞x5,ch6_2_complete,龙魂觉醒,main_ch6_3,15000,18000,dragon_scalex5,ch6_4
ch6,第六章,太初回归,ch6_4,凤凰涅槃,175,48,24,凤凰羽x3,ch6_3_complete,凤凰涅槃,main_ch6_4,18000,20000,phoenix_featherx3,ch6_5
ch6,第六章,太初回归,ch6_5,混沌之源,182,50,25,起源碎片x5,ch6_4_complete,面对混沌之源,main_ch6_5,20000,25000,chaos_essencex10,ch6_6
ch6,第六章,太初回归,ch6_6,云海重光,189,52,26,-,ch6_5_complete,净化成功,main_ch6_6,25000,30000,cloud_crystalx10,ending_1
ending_1,结局,云海山庄永恒,ending_true,真结局,-1,-1,-1,-,ch6_6_complete+all_spirit_beasts+10_final_stage,云海山庄迎来永恒和平,-1,0,-,end
ending_2,结局,云海山庄守护,ending_good,好结局,-1,-1,-1,-,ch6_6_complete+5_spirit_beasts,云海山庄恢复和平,-1,0,-,end
ending_3,结局,云海山庄隐忧,ending_neutral,普通结局,-1,-1,-1,-,ch6_6_complete,云海山庄暂时和平,-1,0,-,end
