# 观云镜食谱预告数据表

```csv
Id,Season,Weather,TideType,RecipeId,UnlockedTextZh,UnlockedTextEn
recipe_tip_001,spring,any,normal,,spring,春季宜清淡，推荐：春茶糕。,Spring suits light dishes. Try: Spring Tea Cake.
recipe_tip_002,summer,any,normal,,summer,夏季解暑，推荐：云雾凉茶。,Summer heat relief. Try: Cloud Mist Tea.
recipe_tip_003,autumn,any,normal,,autumn,秋季润燥，推荐：秋梨灵茶。,Autumn dryness relief. Try: Autumn Pear Tea.
recipe_tip_004,winter,any,normal,,winter,冬季暖身，推荐：红枣姜茶。,Winter warmth. Try: Red Date Ginger Tea.
recipe_tip_005,all,heavyRain,normal,,rain,雨天适合炖汤，推荐：灵草鱼汤。,Rainy days good for soup. Try: Spirit Herb Fish Soup.
recipe_tip_006,all,tide,normal,,tide,大潮日灵感涌现，推荐：潮汐灵茶。,Great Tide creativity. Try: Tide Spirit Tea.
recipe_tip_007,all,any,normal,1,今日有新食谱解锁！查看工坊看看。,New recipe unlocked today! Check the workshop.
recipe_tip_008,all,any,normal,5,灵茶知识精进，可尝试更高阶配方。,Spirit tea knowledge grows. Try advanced recipes.
recipe_tip_009,all,any,normal,,cloudTea,今日灵气充沛，适合制作云雾茶。,Abundant energy today. Perfect for Cloud Mist Tea.
recipe_tip_010,all,any,normal,,spiritTea,灵茶进阶配方已解锁，尝试制作吧。,Advanced spirit tea recipe unlocked.
recipe_tip_011,all,any,normal,,moonTea,月华正盛，推荐品尝月光茶。,Moonlight is strong. Try Moonlight Tea.
recipe_tip_012,all,any,normal,,sunriseTea,朝阳初升，朝露茶格外清甜。,Morning sun rises. Dew tea is extra sweet.
```
