FestivalId,RewardType,ItemId,ItemName,Amount,Probability,Condition,Description
spring_awakening,item,wood,木材,5,1.0,none,基础奖励
spring_awakening,item,cloud_essence,云雾精华,2,0.8,none,参与奖励
spring_awakening,item,spirit_stone,灵石,1,0.3,high_participation,高参与奖励
spring_awakening,buff,stamina_regen_24h,体力恢复24h,1,1.0,none,体力恢复buff
spring_awakening,buff,growth_bonus_24h,生长加速24h,1,0.7,high_participation,生长加速buff
spring_tea_bud,item,tea_seed_random,随机茶种,3,1.0,none,茶种奖励
spring_tea_bud,item,tea_bud_premium,极品灵芽,1,0.4,contest_top3,竞赛前三
spring_tea_bud,buff,harvest_quality_48h,品质提升48h,1,1.0,none,品质提升
spring_tea_bud,buff,tea_exp_24h,制茶经验24h,1,0.8,workshop_attend,Workshop参与
spring_date,buff,favor_boost_72h,好感获取+50%72h,1,1.0,none,约会buff
spring_date,item,love_charm,爱情护符,1,0.6,high_affection,高好感奖励
spring_date,item,flower_bouquet,花束,1,0.8,date_complete,完成约会
summer_lantern,item,lantern_cloud,云灯,3,1.0,none,云灯奖励
summer_lantern,item,wish_scroll,心愿卷轴,1,0.5,wish_made,许愿奖励
summer_lantern,buff,cloud_bonus_24h,云雾加成24h,1,1.0,lantern_released,放灯奖励
summer_lantern,buff,luck_boost_48h,幸运+20%48h,1,0.4,rare_wish,稀有愿望
summer_beast_sports,item,ribbon_honor,荣誉缎带,2,1.0,none,缎带奖励
summer_beast_sports,item,pet_treat_premium,高级灵兽粮,5,0.9,pet_participate,宠物参赛
summer_beast_sports,buff,pet_exp_24h,灵兽经验24h,1,1.0,contest_join,竞赛参与
summer_beast_sports,item,trophy_sports,运动奖杯,1,0.2,contest_top3,前三名
summer_hot_spring,buff,stamina_full,体力全满,1,1.0,none,泡温泉
summer_hot_spring,buff,debuff_clear,负面清除,1,1.0,none,净化
summer_hot_spring,buff,social_exp_24h,社交经验24h,1,0.7,night_chat,夜话参与
autumn_harvest,item,crop_mixed,混合作物,10,1.0,none,作物奖励
autumn_harvest,item,harvest_blessing,丰收祝福,1,0.8,full_harvest,丰收祝福
autumn_harvest,buff,harvest_yield_48h,产量+30%48h,1,1.0,none,产量加成
autumn_beast_contest,item,ribbon_autumn,秋季缎带,2,1.0,none,缎带奖励
autumn_beast_contest,item,trophy_golden,金奖杯,1,0.15,contest_top3,前三名
autumn_beast_contest,buff,pet_attraction_72h,灵兽魅力+50%72h,1,1.0,contest_join,魅力提升
autumn_beast_contest,item,beast_premium_food,高级灵兽粮,5,0.8,showcase_complete,展示完成
autumn_memory,buff,favor_boost_72h,好感+50%72h,1,1.0,none,好感加成
autumn_memory,item,memory_crystal,记忆水晶,1,0.6,none,记忆水晶
autumn_memory,item,photo_memory,回忆照片,1,0.8,memory_walk,回忆走廊
winter_guard,buff,stamina_max_48h,体力上限+50%48h,1,1.0,none,守岁buff
winter_guard,item,candles_blessing,祝福蜡烛,2,1.0,none,蜡烛奖励
winter_guard,item,feast_ticket,年夜饭券,1,1.0,vigil_complete,守岁完成
winter_grand,item,tea_cloud_premium,云雾灵茶,10,1.0,none,云茶奖励
winter_grand,item,medal_honor,荣誉勋章,1,0.5,ceremony_attend,典礼参与
winter_grand,buff,all_bonus_72h,全属性+20%72h,1,1.0,grand_attend,大典参与
winter_grand,buff,rare_drop_24h,稀有掉落24h,1,0.3,rare_reward,稀有奖励
cloud_tide,item,cloud_crystal,云晶,5,1.0,none,云晶奖励
cloud_tide,item,tide_pearl,潮汐之珠,2,0.8,tide_climax,潮祭高潮
cloud_tide,buff,spirit_full,灵气全满,1,1.0,ceremony_attend,灵气恢复
cloud_tide,buff,cloud_power_72h,云之力72h,1,1.0,tide_active,云海力量
cloud_tide,item,cloud_tide_blessing,大潮祝福,1,0.4,rare_spawn,稀有出现
cloud_tide,item,tide_crown,潮汐之冠,1,0.1,legendary_reward,传说奖励
