Id,SpouseId,TimeOfDay,Mood,DialogueLine,Response,Emotion,Animation,Sound
wake_acha_1,acha,morning,content,早安，今天想喝什么茶？,我想要一杯清茶就好,Happy,slight_smile,chime_soft
wake_acha_2,acha,morning,happy,睡得好香，梦到我们一起在云海漫步呢~,那一定很美,joyful,laugh,bell_light
wake_acha_3,acha,morning,energetic,新的一天开始了！今天我们去茶园吧？,好啊，我正想看看茶树的状态,excited,bounce,spring_light
breakfast_acha_1,acha,morning,content,早餐做好了，是云雾粥配灵菇,闻起来好香，我要开动了,pleased,appetite,eat_soft
breakfast_acha_2,acha,morning,happy,今天做了你爱吃的灵糕,谢谢，你总是这么体贴,grateful,touched,heart_warm
work_acha_1,acha,afternoon,focused,这批茶叶品质不错，继续保持,我会努力的，一起加油,determined,work_hard,farm_work
work_acha_2,acha,afternoon,pleased,今天的云海好美，茶也格外香呢,是啊，难得的好天气,peaceful,relax,breeze_soft
relax_acha_1,acha,evening,content,今天辛苦了，泡杯茶休息一下吧,谢谢，有你在真好,content,sip_tea,cup_clink
relax_acha_2,acha,evening,happy,看，今晚的月亮好圆,真的很美，就像你一样,joved,embarrassed,laugh_light
night_acha_1,acha,night,affectionate,今天发生了很多事呢,是啊，但有你在身边很安心,peaceful,lean_together,wind_night
night_acha_2,acha,night,grateful,谢谢你一直陪在我身边,我也是，会一直陪着你的,devoted,hold_hand,heart_warm
night_acha_3,acha,night,happy,晚安，明天见,晚安，做个好梦,content,sleepy,blanket_soft
wake_yu_1,yu,morning,scholarly,早安，我刚读完一本古籍，收获颇丰,有什么有趣的发现吗？,curious,gesture_book,page_flip
wake_yu_2,yu,morning,happy,今天的天气适合观测星象,晚上我们一起去看吧,excited,look_forward,star_soft
work_yu_1,yu,afternoon,focused,我发现了一个有趣的灵界现象,在哪里？能带我去看看吗,curious,explain,quill_write
work_yu_2,yu,afternoon,pleased,这个研究成果很重要，谢谢你的帮助,我们是一起的，不用客气,grateful,together,heart_warm
relax_yu_1,yu,evening,content,劳逸结合，今天休息一下吧,好，去泡温泉吧,relaxed,smile,spring_water
night_yu_1,yu,night,affectionate,今天和你一起很开心,我也是，晚安,peaceful,goodnight,whisper_soft
wake_qiao_1,qiao,morning,creative,早安！我灵感迸发，想画一幅云海日出,那我要当第一个观众,joved,blush,brush_soft
work_qiao_1,qiao,afternoon,focused,这幅画的色彩还不够完美,需要我帮你调色吗,supportive,appreciate,paint_soft
relax_qiao_1,qiao,evening,happy,今天的画作完成了，是画的你~,让我看看！好美,surprised,touched,paint_reveal
night_qiao_1,qiao,night,romantic,月光下的你更美了，我想画下来,那我就是你的专属模特了,playful,laugh,heart_warm
wake_he_1,he,morning,caring,早安，我给你准备了养生粥,谢谢，一大早就这么贴心,grateful,touched,soup_stir
work_he_1,he,afternoon,gentle,今天注意休息，不要太累了,有你的关心，我不会累的,peaceful,reassure,heart_warm
relax_he_1,he,evening,content,泡温泉可以消除疲劳，一起去吧,好啊，正好想放松一下,relaxed,spring_enter,water_splash
night_he_1,he,night,affectionate,晚安，我给你准备了安神茶,谢谢，有你真好,content,sip_tea,cup_soft
wake_ning_1,ning,morning,nature,早安，花园里的花开得好美,真的，每一朵都很漂亮,pleased,garden_walk,wind_soft
work_ning_1,ning,afternoon,happy,今天的花圃整理好了,辛苦了，我帮你浇水吧,supportive,water_plants,water_drip
relax_ning_1,ning,evening,peaceful,坐在花田里看夕阳，真美,是啊，这就是我想要的生活,content,lean_together,sunset_breeze
night_ning_1,ning,night,content,晚安，梦里见,晚安，梦里一定有花园,peaceful,dreamy,whisper_soft
wake_an_1,an,morning,hardworking,早安，我要去田里了,我也去帮忙,supportive,go_together,farm_walk
work_an_1,an,afternoon,pleased,今天的收成不错,辛苦了，晚上做顿好吃的,joved,happy,harvest_soft
relax_an_1,an,evening,content,坐在田埂上看星星，真惬意,这就是最简单的幸福,peaceful,stargaze,night_cricket
night_an_1,an,night,grateful,谢谢你这段时间的陪伴,我也谢谢你，我们一起努力,devoted,hold_hand,heart_warm
wake_song_1,song,morning,business,早安，今天的生意应该不错,祝你财源广进,joved,laugh,money_jingle
work_song_1,song,afternoon,pleased,今天的账目很顺利,你是我的贤内助,proud,embrace,heart_warm
relax_song_1,song,evening,happy,忙了一天，出去逛逛吧,好啊，去夜市看看,excited,walk_together,night_market
night_song_1,song,night,content,今天和你一起很充实,是啊，晚安,peaceful,goodnight,whisper_soft
wake_wanxing_1,wanxing,morning,mystical,早安，今天的星象显示会有好事发生,真的吗？好期待,curious,excited,star_twinkle
work_wanxing_1,wanxing,afternoon,focused,这个星象需要仔细观测,你观测的样子好认真,admire,watch,telescope_soft
relax_wanxing_1,wanxing,evening,peaceful,今晚有流星雨，我们一起看吧,太浪漫了！,excited,stargaze,shooting_star
night_wanxing_1,wanxing,night,romantic,我对星星许愿，希望永远和你在一起,我也一样，星星听到了,devoted,hold_hand,star_soft
wake_xiaoman_1,xiaoman,morning,happy,早安，茶园的露珠好美,是啊，新的一天开始了,peaceful,smile,dew_drop
work_xiaoman_1,xiaoman,afternoon,content,今天的茶叶品质很好,都是你照顾得好,grateful,together,tea_leaf
relax_xiaoman_1,xiaoman,evening,content,泡一壶好茶，一起品茗,茶香四溢，真惬意,relaxed,sip_tea,cup_clink
night_xiaoman_1,xiaoman,night,affectionate,和你一起种茶制茶的日子，真幸福,我也觉得很幸福，晚安,content,goodnight,whisper_soft
wake_mo_1,mo,morning,skilled,早安，我刚完成了一把新工具,让我看看！好精致,admire,tool_craft,forge_soft
work_mo_1,mo,afternoon,focused,这个锻造工艺需要调整,我相信你的手艺,supportive,watch_work,hammer_strike
relax_mo_1,mo,evening,content,今天的工作完成了，一起休息吧,好啊，去看夕阳,peaceful,relax,sunset_soft
night_mo_1,mo,night,grateful,谢谢你一直支持我的锻造事业,我们是一起的，加油,devoted,hold_hand,forge_soft
wake_lin_1,lin,morning,serene,早安，先去祠堂上柱香吧,好，我也想祈求平安,peaceful,walk_temple,bell_soft
work_lin_1,lin,afternoon,focused,这个仪式需要调整一下,我相信你的判断,trust,explain,scroll_soft
relax_lin_1,lin,evening,content,今天学习了新的祭祀知识,教教我好吗,curious,teach,learn_soft
night_lin_1,lin,night,devoted,和你一起传承文化，很有意义,是啊，我们会一直传承下去,content,goodnight,whisper_soft
wake_yan_1,yan,morning,skilled,早安，我给你打造了新佩剑,让我看看！太漂亮了,admire,weapon_present,sword_clash
work_yan_1,yan,afternoon,proud,这把剑的锋利度刚刚好,你的手艺越来越精湛了,proud,embrace,heart_warm
relax_yan_1,yan,evening,content,今天打铁累了，一起泡泡温泉,好啊，正好放松一下,relaxed,hot_spring,water_soft
night_yan_1,yan,night,grateful,谢谢你支持我的锻造之路,我们会一起走下去的,devoted,hold_hand,forge_soft
