id,name,background,ambient_pollution_rate,is_spirit_realm,allowed_spirit_ids,difficulty_scale,recommended_heart,available_spirits
zone_cloud_manor,云海山庄外围,cloud_manor_bg,1.0,false,spirit_wanderer_01/spirit_butterfly_02/spirit_dustball_03/spirit_firefly_05/spirit_cloudpuff_06/spirit_mud_07/spirit_wiltleaf_08,1.0,1,"spirit_wanderer_01,spirit_butterfly_02,spirit_dustball_03,spirit_firefly_05,spirit_cloudpuff_06,spirit_mud_07,spirit_wiltleaf_08"
zone_mountain_path,山间小道,mountain_path_bg,1.0,false,spirit_dustball_03/spirit_grass_04/spirit_mud_07/spirit_cloudpuff_06,1.0,1,"spirit_dustball_03,spirit_grass_04,spirit_mud_07,spirit_cloudpuff_06"
zone_bamboo_forest,后山竹林,bamboo_bg,0.85,false,spirit_grass_04/spirit_cloudwater_09/spirit_glowworm_10/spirit_vine_11/spirit_bamboospirit_12/spirit_bambooshoot_13/spirit_rotpile_15,1.2,2,"spirit_grass_04,spirit_cloudwater_09,spirit_glowworm_10,spirit_vine_11,spirit_bamboospirit_12,spirit_bambooshoot_13,spirit_rotpile_15"
zone_tea_garden,茶园,tea_garden_bg,0.9,false,spirit_leafdust_17/spirit_teafungus_19/spirit_bambooshoot_20/spirit_cloudteajelly_21/spirit_vine_11,1.3,2,"spirit_leafdust_17,spirit_teafungus_19,spirit_bambooshoot_20,spirit_cloudteajelly_21,spirit_vine_11"
zone_spirit_realm_1,灵界遗迹浅层,spirit_realm_bg_1,1.25,true,spirit_deadbamboo_14/spirit_oldbamboo_16/spirit_leafstorm_18/spirit_withered_orchid_22/spirit_grass_04,1.5,3,"spirit_deadbamboo_14,spirit_oldbamboo_16,spirit_leafstorm_18,spirit_withered_orchid_22"
zone_spirit_realm_2,灵界遗迹深层,spirit_realm_bg_2,1.6,true,spirit_angrystone_21/spirit_cloudleopard_22/spirit_cloudjelly_23/spirit_misty_ghost_24/spirit_deadbamboo_14,1.8,4,"spirit_angrystone_21,spirit_cloudleopard_22,spirit_cloudjelly_23,spirit_misty_ghost_24"
zone_spirit_realm_3,灵界遗迹核心,spirit_realm_bg_3,2.0,true,spirit_vengeful_elite_23/spirit_jellyfish_24/spirit_vineking_25/spirit_shadow_26/spirit_misty_ghost_24,2.2,4,"spirit_vengeful_elite_23,spirit_jellyfish_24,spirit_vineking_25,spirit_shadow_26"
zone_realm_bridge,界桥,realm_bridge_bg,2.5,true,spirit_realm_guardian_27/spirit_ancient_golem_28/spirit_shadow_26,2.5,5,"spirit_realm_guardian_27,spirit_ancient_golem_28"
zone_boss_tide,云海大潮,BOSS_tide_bg,3.0,true,spirit_cloud_tide_lord/spirit_mountain_god,3.0,5,"spirit_cloud_tide_lord,spirit_mountain_god"
zone_boss_origin,太初之境,BOSS_origin_bg,4.0,true,spirit_original_pollution,4.0,6,"spirit_original_pollution"
zone_festival_battle,节日战场,festival_battle_bg,1.5,false,spirit_wanderer_01/spirit_butterfly_02/spirit_cloudpuff_06/spirit_glowworm_10,1.0,1,"spirit_wanderer_01,spirit_butterfly_02,spirit_cloudpuff_06,spirit_glowworm_10"
