NpcId,Stage,Season,Weather,TimeBlock,MapId,AnchorId,BehaviorTag
yunseng,0,Spring,Clear,Morning,manor,square,drifter
yunseng,0,Spring,Rain,Morning,manor,bridge_shelter,drifter
yunseng,0,Summer,Clear,Afternoon,manor,square,drifter
yunseng,0,Winter,Snow,Night,manor,bridge_shelter,drifter
yunseng,1,Any,Any,Morning,manor,mixed_store,shop_helper
yunseng,1,Any,Any,Afternoon,manor,mixed_store,shop_helper
yunseng,2,Spring,Rain,Morning,village,river_rent_house,apprentice_home
yunseng,2,Spring,Clear,Afternoon,village,mixed_store,apprentice_shop
yunseng,2,Summer,Clear,Morning,village,mixed_store,apprentice_shop
yunseng,2,Autumn,Rain,Evening,village,river_rent_house,apprentice_home
yunseng,3,Any,Any,Morning,village,yunseng_shop,shop_owner
yunseng,3,Any,Any,Afternoon,village,yunseng_shop,shop_owner
yunseng,4,Any,Any,Morning,village,yunseng_tower_house,master_shop_owner
yunseng,4,Any,Any,Afternoon,village,yunseng_shop,master_shop_owner
acha,1,Any,Any,Evening,manor,main_house,inn_helper
wanxing,1,Any,Any,Night,manor,observatory,star_recorder
laohuai,1,Any,Any,Morning,manor,manor_workshop,manor_craftsman
