Id,NpcId,ScheduleName,TimeOfDay,LocationId,Activity,Duration,Priority
sch_lingxiao_morning,lingxiao,日常晨间,08:00,loc_teahouse,teahouse,120,5
sch_lingxiao_afternoon,lingxiao,日常午间,12:00,loc_teahouse,teahouse,180,5
sch_lingxiao_evening,lingxiao,日常晚间,18:00,loc_home,home,240,5
sch_lingxiao_night,lingxiao,日常夜间,22:00,loc_home,sleep,360,5
sch_qingfeng_morning,qingfeng,晨间巡逻,06:00,loc_mountain,patrol,240,5
sch_qingfeng_noon,qingfeng,午间休息,12:00,loc_outpost,rest,180,4
sch_qingfeng_evening,qingfeng,傍晚狩猎,17:00,loc_forest,hunt,300,5
sch_xiaoyao_all,xiaoyao,全天营业,09:00,loc_market,shop,600,5
sch_meili_morning,meili,晨间喂食,07:00,loc_pet_park,pet_care,180,5
sch_meili_afternoon,meili,下午训练,14:00,loc_pet_park,pet_training,240,5
sch_baizhu_morning,baizhu,晨间炼药,08:00,loc_pharmacy,alchemy,300,5
sch_baizhu_afternoon,baizhu,下午坐诊,14:00,loc_clinic,consult,240,5
sch_yueying_morning,yueying,晨间练习,09:00,loc_plaza,practice,180,4
sch_yueying_evening,yueying,晚间表演,19:00,loc_plaza,performance,180,5
sch_xuanwei_all,xuanwei,全天打铁,08:00,loc_forge,forge,600,5
sch_yunshen_morning,yunshen,晨间诵经,06:00,loc_temple,meditation,240,5
sch_yunshen_afternoon,yunshen,下午讲道,14:00,loc_temple,teach,240,5
sch_lianhua_morning,lianhua,晨间浇花,07:00,loc_garden,gardening,180,5
sch_lianhua_afternoon,lianhua,下午修剪,15:00,loc_garden,gardening,180,5
sch_tianyu_all,tianyu,全天守卫,06:00,loc_gate,guard,720,5
sch_song_morning,song,晨间采购,07:00,loc_market,shopping,180,5
sch_song_midday,song,游商营业,10:00,loc_plaza,trade,300,5
sch_song_afternoon,song,送货上门,15:00,loc_village,delivery,180,5
sch_song_evening,song,收摊休息,18:00,loc_home,home,240,5
sch_song_night,song,夜间盘点,21:00,loc_home,inventory,120,4
sch_yu_morning,yu,清晨看云,06:00,loc_ridge,observation,240,5
sch_yu_noon,yu,山顶远眺,10:00,loc_peak,observation,300,5
sch_yu_afternoon,yu,云海漫步,15:00,loc_cloud_sea,explore,240,5
sch_yu_evening,yu,等晚霞,18:00,loc_ridge,observation,180,5
sch_yu_night,yu,夜观星辰,21:00,loc_peak,stargaze,180,4
sch_mo_morning,mo,晨间写作,08:00,loc_home,writing,240,5
sch_mo_afternoon,mo,午后采风,13:00,loc_village,research,180,5
sch_mo_evening,mo,晚间整理,18:00,loc_home,organize,240,5
sch_mo_night,mo,深夜创作,22:00,loc_home,writing,180,4
sch_qiao_morning,qiao,晨间备茶,07:00,loc_tea_stall,prepare,180,5
sch_qiao_afternoon,qiao,茶棚营业,10:00,loc_tea_stall,serve,360,5
sch_qiao_evening,qiao,收摊清洁,17:00,loc_tea_stall,clean,120,5
sch_qiao_night,qiao,夜间休息,19:00,loc_home,rest,300,5
sch_he_morning,he,晨间出海,06:00,loc_dock,fishing,300,5
sch_he_noon,he,码头售卖,11:00,loc_dock,trade,240,5
sch_he_afternoon,he,午后补网,15:00,loc_dock,repair,180,5
sch_he_evening,he,收网归家,18:00,loc_home,home,300,5
sch_ning_morning,ning,晨间发呆,08:00,loc_plaza,drelax,240,5
sch_ning_noon,ning,树下乘凉,12:00,loc_old_tree,rest,300,5
sch_ning_afternoon,ning,河边静坐,16:00,loc_river,drelax,240,5
sch_ning_evening,ning,归家休息,19:00,loc_home,rest,300,5
sch_an_morning,an,田间劳作,06:00,loc_field,farm,300,5
sch_an_noon,an,午间休憩,11:00,loc_home,lunch,180,5
sch_an_afternoon,an,下午耕耘,14:00,loc_field,farm,300,5
sch_an_evening,an,收获整理,18:00,loc_field,harvest,180,5
sch_an_night,an,夜间休息,20:00,loc_home,sleep,300,5
sch_shu_morning,shu,晨间记录,07:00,loc_observatory,observe,240,5
sch_shu_noon,shu,数据分析,11:00,loc_home,analyze,180,5
sch_shu_afternoon,shu,高台观测,14:00,loc_peak,observe,300,5
sch_shu_evening,shu,整理笔记,18:00,loc_home,write,240,5
sch_shu_night,shu,夜观天象,21:00,loc_observatory,observe,180,4
sch_yan_morning,yan,晨间练习,08:00,loc_plaza,practice,240,5
sch_yan_noon,yan,午后授课,12:00,loc_plaza,teach,180,4
sch_yan_afternoon,yan,琴房调弦,15:00,loc_home,tune,180,5
sch_yan_evening,yan,晚间演出,19:00,loc_plaza,perform,180,5
sch_yan_night,yan,夜间休息,21:00,loc_home,rest,180,5
