Id,NpcId,HeartLevel,EventName,EventType,TriggerCondition,TriggerDay,TriggerWeather,TriggerSeason,Location,DialogueGroup,Reward,FollowUpEvent,Priority
heart_acha_1,acha,1,初识云狐,Memory,on_beast_obtain,any,any,any,cloud_mist,heart_acha_1_01,pet_cloud_fox_baby,heart_acha_2,High
heart_acha_2,acha,2,茶园共度,Memory,on_gift_received,any,any,any,tea_garden,heart_acha_2_01,tea_cloudx2,heart_acha_3,High
heart_acha_3,acha,3,月下品茶,Memory,on_night_meet,any,cloudy,any,cloud_pavilion,heart_acha_3_01,tea_mistx3,heart_acha_4,High
heart_acha_4,acha,4,浓情蜜意,Memory,on_favor_10,any,any,any,tea_workshop,heart_acha_4_01,love_charm,heart_acha_5,High
heart_acha_5,acha,5,山盟海誓,Memory,on_favor_15,any,any,any,cloud_surface,heart_acha_5_01,cloud_crystalx3,heart_acha_6,High
heart_acha_6,acha,6,灵犀一点,Memory,on_quest_complete,ch2_complete,any,any,tea_garden,heart_acha_6_01,tea_pot_adv,heart_acha_7,Medium
heart_acha_7,acha,7,风雨同舟,Memory,on_crisis_help,ch3_1,any,any,main_hall,heart_acha_7_01,spirit_stonex3,heart_acha_8,Medium
heart_acha_8,acha,8,执子之手,Memory,on_favor_20,any,any,any,cloud_pavilion,heart_acha_8_01,marriage_ring,heart_acha_9,Medium
heart_acha_9,acha,9,相伴余生,Memory,on_marriage,any,any,any,cloud_shrine,heart_acha_9_01,married_bonus,heart_acha_10,High
heart_acha_10,acha,10,永恒之约,Memory,on_true_ending,ending_true,any,any,cloud_surface,heart_acha_10_01,eternal_bond,None,High
heart_yu_1,yu,1,学术交流,Memory,on_quest_complete,ch1_4,any,any,library,heart_yu_1_01,book_spirit_1,heart_yu_2,High
heart_yu_2,yu,2,灵界探险,Memory,on_spirit_realm_visit,ch2_1,any,any,spirit_realm,heart_yu_2_01,void_crystalx2,heart_yu_3,High
heart_yu_3,yu,3,云海观星,Memory,on_night_meet,any,clear,any,observation_platform,heart_yu_3_01,stardustx1,heart_yu_4,High
heart_yu_4,yu,4,夜读时光,Memory,on_evening_meet,any,any,any,library,heart_yu_4_01,book_rare,heart_yu_5,High
heart_yu_5,yu,5,情深意重,Memory,on_favor_15,any,any,any,library,heart_yu_5_01,scholar_pendant,heart_yu_6,Medium
heart_yu_6,yu,6,研究突破,Memory,on_quest_complete,ch3_2,any,any,lab,heart_yu_6_01,research_scroll,heart_yu_7,Medium
heart_yu_7,yu,7,共渡难关,Memory,on_crisis_help,ch3_5,any,any,main_hall,heart_yu_7_01,void_crystalx3,heart_yu_8,Medium
heart_yu_8,yu,8,心心相印,Memory,on_favor_20,any,any,any,observation_platform,heart_yu_8_01,star_charm,heart_yu_9,Medium
heart_yu_9,yu,9,白首之约,Memory,on_marriage,any,any,any,cloud_shrine,heart_yu_9_01,married_bonus,heart_yu_10,High
heart_yu_10,yu,10,学术伉俪,Memory,on_true_ending,ending_true,any,any,library,heart_yu_10_01,eternal_bond,None,High
heart_qiao_1,qiao,1,画廊初见,Memory,on_meet,any,any,any,art_gallery,heart_qiao_1_01,paint_brush,heart_qiao_2,High
heart_qiao_2,qiao,2,灵感碰撞,Memory,on_gift_received,any,any,any,art_studio,heart_qiao_2_01,flower_rarex2,heart_qiao_3,High
heart_qiao_3,qiao,3,云海写生,Memory,on_weather_event,any,cloudy,any,cloud_surface,heart_qiao_3_01,painting_cloud,heart_qiao_4,High
heart_qiao_4,qiao,4,秋日采风,Memory,on_season_change,any,any,autumn,outdoor,heart_qiao_4_01,autumn_palette,heart_qiao_5,High
heart_qiao_5,qiao,5,情投意合,Memory,on_favor_15,any,any,any,art_gallery,heart_qiao_5_01,love_painting,heart_qiao_6,Medium
heart_qiao_6,qiao,6,画展盛事,Memory,on_quest_complete,ch4_2,any,any,art_gallery,heart_qiao_6_01,art_scroll,heart_qiao_7,Medium
heart_qiao_7,qiao,7,风雨同画,Memory,on_crisis_help,ch3_5,any,any,main_hall,heart_qiao_7_01,cloud_essencex3,heart_qiao_8,Medium
heart_qiao_8,qiao,8,执笔画情,Memory,on_favor_20,any,any,any,art_studio,heart_qiao_8_01,wedding_portrait,heart_qiao_9,Medium
heart_qiao_9,qiao,9,画中缘定,Memory,on_marriage,any,any,any,cloud_shrine,heart_qiao_9_01,married_bonus,heart_qiao_10,High
