id,name,machine_id,input_item,input_count,output_item,output_count,process_time,base_success_rate,tags
green_tea,绿茶,tea_machine,TeaLeaf,2,TeaPack,1,60,0.85,core;week4
tea_withering,茶叶萎凋,tea_machine,TeaLeaf,2,withered_tea_leaf,1,45,0.92,tea;process;p0
tea_kill_green,茶叶杀青,tea_machine,withered_tea_leaf,1,killed_green_tea_leaf,1,55,0.90,tea;process;p0
tea_rolling,茶叶揉捻,tea_machine,killed_green_tea_leaf,1,rolled_tea_leaf,1,55,0.88,tea;process;p0
tea_drying,茶叶干燥,tea_machine,rolled_tea_leaf,1,TeaPack,1,60,0.86,tea;process;p0
tea_steaming,灵茶蒸汽加工,tea_machine,spirit_tea,1,steamed_tea,1,60,0.85,week4;legacy
tea_ferment,灵茶发酵,ferment_machine,steamed_tea,1,fermented_tea,1,120,0.75,week4;legacy
spirit_essence_refine,灵粹精炼,tea_machine,spirit_grass,3,spirit_essence,1,60,1.0,spirit;refine
cloud_elixir_brew,云华灵药酿造,tea_machine,cloud_dew,2,cloud_elixir,1,120,1.0,spirit;brew
immortal_tea_craft,不朽灵茶锻制,tea_machine,cloud_elixir,1,immortal_tea,1,300,1.0,spirit;legendary
spirit_dust_pack,灵尘压缩包,tea_machine,spirit_dust,3,spirit_dust_pack,1,50,0.96,spirit;utility
spirit_dust_essence,灵尘精华,ferment_machine,spirit_dust_pack,1,dust_essence,1,110,0.90,spirit;utility
cloud_crystal_cut,云晶切割,tea_machine,cloud_crystal,1,cloud_fragment,2,80,0.92,spirit;craft
realm_shard_polish,界桥碎片抛光,ferment_machine,realm_shard,1,realm_polished_shard,1,140,0.86,spirit;craft
tea_essence_extract,茶灵萃取,tea_machine,spirit_tea,2,tea_essence,1,100,0.90,tea;spirit
taichu_tea_proto,太初灵茶原液,ferment_machine,tea_essence,1,taichu_tea_base,1,180,0.82,tea;legendary
taichu_tea_finish,太初灵茶,tea_machine,taichu_tea_base,1,taichu_tea,1,260,0.78,tea;legendary
fermented_tea_plus,熟成发酵茶,ferment_machine,fermented_tea,1,fermented_tea_plus,1,180,0.80,core;upgrade
spirit_tea_blend,灵雾拼配茶,tea_machine,TeaPack,2,spirit_tea_blend,1,90,0.88,tea;blend
mist_recovery_potion,云雾恢复药,tea_machine,cloud_elixir,1,mist_recovery_potion,1,90,0.90,spirit;medicine
guardian_incense,守护香,ferment_machine,dust_essence,1,guardian_incense,1,160,0.84,spirit;buff
bamboo_tea_snack,竹韵茶点,tea_machine,BambooShoot,2,bamboo_tea_snack,1,70,0.93,food;tea
wildflower_tea,花韵清茶,tea_machine,WildFlower,3,wildflower_tea,1,80,0.91,food;tea
cook_tea_egg,茶叶蛋,tea_machine,Egg,1,tea_egg,1,50,0.95,food;cook;p0
cook_veggie_soup,蔬菜汤,tea_machine,Turnip,2,veggie_soup,1,70,0.90,food;cook;p0
cook_warm_milk,热牛奶,tea_machine,Milk,1,warm_milk,1,40,0.98,food;drink;p0
cook_grilled_fish,烤鱼,tea_machine,mist_carp,1,grilled_fish,1,60,0.94,food;fish
cook_fish_stew,鱼汤,tea_machine,cloud_koi,1,fish_stew,1,80,0.90,food;fish
craft_fish_feed,鱼饵灵食,tea_machine,tea_shrimp,1,Feed,1,45,0.96,pet;fish
craft_fish_oil,鱼油凝脂,ferment_machine,tide_eel,1,fish_oil,1,90,0.82,material;fish
iron_infused_kettle,玄铁茶釜,ferment_machine,IronOre,4,iron_infused_kettle,1,220,0.72,tool;advanced
mist_green_tea_process,初雾绿茶萎凋,tea_machine,mist_green_tea_leaf,2,mist_green_tea_pack,1,95,0.88,tea;process
