Id,NpcId,MemoryType,TriggerCondition,UnlockThreshold,Description,MailTemplateId
mem_acha_cloud,acha,CloudMemory,CloudDensityAbove80,60,她发现云海异常浓郁,mail_acha_cloud_1
mem_acha_tea,acha,TeaMemory,TeaBrewed,10,她注意到你经常制茶,mail_acha_tea_1
mem_acha_ecology,acha,EcologyMemory,EcologyScoreAbove,70,她感受到庄园的平衡之美,mail_acha_ecology_1
mem_lin_hunt,lin,HuntMemory,HuntCompleted,3,他在最近的狩猎中表现出色,mail_lin_hunt_1
mem_lin_story,lin,StoryMemory,DialogueCount,20,他觉得和你聊天很开心,mail_lin_story_1
mem_lin_ecology,lin,EcologyMemory,EcologyScoreAbove,60,他注意到山庄越来越有灵气,mail_lin_ecology_1
mem_wanxing_cloud,wanxing,CloudMemory,CloudDensityAbove80,60,她发现云海有特殊变化,mail_wanxing_cloud_1
mem_wanxing_star,wanxing,StarMemory,StargazingCount,5,她记得你常陪她看星星,mail_wanxing_star_1
mem_wanxing_ecology,wanxing,EcologyMemory,EcologyScoreAbove,70,她感受到云海的灵性变化,mail_wanxing_ecology_1
mem_xiaoman_beast,xiaoman,PetMemory,PetBondAbove,50,她发现你和灵兽相处融洽,mail_xiaoman_beast_1
mem_xiaoman_farm,xiaoman,FarmMemory,FarmProductValue,1000,她觉得你是个优秀的农夫,mail_xiaoman_farm_1
mem_xiaoman_ecology,xiaoman,EcologyMemory,EcologyScoreAbove,60,她感受到庄园的生机,mail_xiaoman_ecology_1
mem_song_trade,song,TradeMemory,TradeAmountAbove,500,他发现你是常客,mail_song_trade_1
mem_song_story,song,StoryMemory,DialogueCount,15,他觉得你是个可靠的朋友,mail_song_story_1
mem_song_ecology,song,EcologyMemory,EcologyScoreAbove,50,他注意到庄园生意变好,mail_song_ecology_1
mem_yu_cloud,yu,CloudMemory,CloudDensityAbove80,60,他发现云海有独特的变化,mail_yu_cloud_1
mem_yu_star,yu,StarMemory,StargazingCount,5,他记得你陪他看星星的日子,mail_yu_star_1
mem_yu_ecology,yu,EcologyMemory,EcologyScoreAbove,70,他感受到云海与庄园的联系,mail_yu_ecology_1
mem_mo_art,mo,ArtMemory,ArtAppreciated,5,他觉得你懂得欣赏艺术,mail_mo_art_1
mem_mo_dream,mo,DreamMemory,DreamShared,3,他和你分享过梦境,mail_mo_dream_1
mem_mo_ecology,mo,EcologyMemory,EcologyScoreAbove,60,他觉得庄园像一个梦境,mail_mo_ecology_1
mem_qiao_craft,qiao,CraftMemory,CraftAppreciated,5,她觉得你懂得欣赏她的手艺,mail_qiao_craft_1
mem_qiao_cloud,qiao,CloudMemory,CloudDensityAbove80,60,她想把云海绣下来给你看,mail_qiao_cloud_1
mem_qiao_ecology,qiao,EcologyMemory,EcologyScoreAbove,70,她觉得庄园的一切都值得入绣,mail_qiao_ecology_1
mem_he_nature,he,NatureMemory,NatureExplored,10,他觉得你和他一样热爱自然,mail_he_nature_1
mem_he_journey,he,JourneyMemory,JourneysTogether,3,他记得和你一起的旅途,mail_he_journey_1
mem_he_ecology,he,EcologyMemory,EcologyScoreAbove,70,他感受到庄园与山林的和谐,mail_he_ecology_1
mem_ning_garden,ning,GardenMemory,GardenVisited,10,她觉得你常来看花园,mail_ning_garden_1
mem_ning_flower,ning,FlowerMemory,FlowersTended,5,她觉得你懂得欣赏美,mail_ning_flower_1
mem_ning_ecology,ning,EcologyMemory,EcologyScoreAbove,60,她觉得庄园越来越美,mail_ning_ecology_1
mem_an_wisdom,an,WisdomMemory,WisdomShared,10,她觉得你是个善于思考的人,mail_an_wisdom_1
mem_an_balance,an,BalanceMemory,BalanceAchieved,3,她注意到你追求平衡,mail_an_balance_1
mem_an_ecology,an,EcologyMemory,EcologyScoreAbove,70,她觉得庄园达到了一种平衡,mail_an_ecology_1
mem_shu_research,shu,ResearchMemory,ResearchShared,5,她觉得你是她的研究伙伴,mail_shu_research_1
mem_shu_mystery,shu,MysteryMemory,MysteryExplored,3,她和你分享过神秘发现,mail_shu_mystery_1
mem_shu_ecology,shu,EcologyMemory,EcologyScoreAbove,60,她用数据记录了庄园的变化,mail_shu_ecology_1
mem_yan_tao,yan,TaoMemory,TaoDiscussion,5,她觉得你与道有缘,mail_yan_tao_1
mem_yan_practice,yan,PracticeMemory,PracticeTime,60,她注意到你在修行上的努力,mail_yan_practice_1
mem_yan_ecology,yan,EcologyMemory,EcologyScoreAbove,70,她感受到庄园的灵气充盈,mail_yan_ecology_1
