Id,TeaId,PrimaryElement,AuraDelta,ElementDelta,QualityBonusAtHighAura,Description
plant_wu_mountain,tea_wu_mountain,Wind,5,Wind:3,1.2,种植初雾绿茶：风元素+3
plant_morning_dew,tea_morning_dew,Dew,5,Dew:3,1.2,种植晨露白茶：露元素+3
plant_twilight_oolong,tea_twilight_oolong,Glow,5,Glow:3,1.2,种植暮霞乌龙：霞元素+3
plant_autumn_frost,tea_autumn_frost,Tide,5,Tide:3,1.2,种植秋霜乌龙：潮元素+3
plant_winter_snow,tea_winter_snow,Cloud,5,Cloud:3,1.2,种植冬雪银针：云元素+3
plant_cloud_apex,tea_cloud_apex,Cloud,8,Cloud:5;Wind:2,1.4,种植云巅金芽：云元素+5，风元素+2
plant_blue_berry,tea_blue_berry,Dew,5,Dew:4;Wind:1,1.2,种植云莓红茶：露元素+4
plant_pine_smoke,tea_pine_smoke,Wind,6,Wind:4;Earth:2,1.3,种植松烟黑茶：风元素+4
plant_star_frost,tea_star_frost,Cloud,10,Cloud:6;Tide:2,1.5,种植星霜雪茶：云元素+6，潮元素+2
plant_rock_bone,tea_rock_bone,Earth,8,Earth:5;Wind:2,1.4,种植岩骨黑茶：土元素+5，风元素+2
plant_spirit_orchid,tea_spirit_orchid,Dew,6,Dew:4;Glow:2,1.3,种植灵兰花茶：露元素+4，霞元素+2
plant_frost_needle,tea_frost_needle,Cloud,6,Cloud:5;Wind:1,1.3,种植霜针灵茶：云元素+5
plant_moon_silver,tea_moon_silver,Cloud,8,Cloud:4;Tide:2;Glow:2,1.4,种植望月银茶：云元素+4，潮元素+2，霞元素+2
plant_summer_cloud,tea_summer_cloud,Cloud,5,Cloud:4;Wind:1,1.2,种植夏云白茶：云元素+4
plant_dream_cloud,tea_dream_cloud,Glow,10,Glow:6;Cloud:2,1.5,种植梦云紫茶：霞元素+6，云元素+2
plant_tide_heart,tea_tide_heart,Tide,12,Tide:8;Cloud:2,1.6,种植潮心古茶：潮元素+8，云元素+2
plant_original,tea_original,Harmony,15,All:3,2.0,种植太初元茶：全元素+3（完美平衡）
plant_jade_spring,tea_jade_spring,Dew,8,Dew:5;Tide:3,1.4,种植玉泉鹿茶：露元素+5，潮元素+3
plant_cloud_fire,tea_cloud_fire,Fire,12,Fire:6;Glow:4,1.6,种植云火凤茶：火元素+6，霞元素+4
plant_stardust,tea_stardust,Cloud,10,Cloud:5;Tide:3;Glow:2,1.5,种植星尘鹿茶：云元素+5，潮元素+3，霞元素+2
