SpouseId,PrivilegeType,PrivilegeName,Effect,UnlockCondition,Description
acha,home_feature,夫妻茶室,解锁专属茶室+制茶效率+10%,marriage,和阿茶一起品茶的私密空间
acha,home_feature,茶香衣柜,解锁夫妻装束+魅力+15%,marriage,绣有云雾纹样的精致服饰
acha,home_feature,茶具收藏,解锁收藏室+茶具鉴赏技能,marriage_7days,历代名茶具展示
yu,home_feature,夫妻书房,解锁专属书房+研习效率+20%,marriage,安静的学习环境
yu,home_feature,天文望远镜,解锁观星台+星象预测精度+100%,marriage,一起观测星辰
yu,home_feature,古籍收藏,解锁藏书阁+古书解读技能,marriage_30days,珍贵典籍收藏
qiao,home_feature,画室天窗,解锁采光画室+绘画效率+25%,marriage,自然光下的创作空间
qiao,home_feature,作品展览,解锁家庭画廊+作品价值+50%,marriage,展示共同创作的艺术品
qiao,home_feature,颜料收藏,解锁珍品颜料+稀有色彩解锁,marriage_30days,来自各地珍稀颜料
he,home_feature,夫妻药房,解锁专属药房+制药效率+20%,marriage,温馨的医药空间
he,home_feature,药浴池,解锁药浴设施+体力恢复+30%,marriage,和合调配的药浴
he,home_feature,药膳食谱,解锁私房菜谱+料理品质+25%,marriage_30days,和的独家食谱
ning,home_feature,空中花园,解锁屋顶花园+种植效率+25%,marriage,俯瞰山庄的美丽花园
ning,home_feature,花房温室,解锁温室+稀有花卉培育,marriage,全年培育各种花卉
ning,home_feature,花艺工具,解锁珍藏花艺工具+插花价值+40%,marriage_30days,代代相传的工具
an,home_feature,田园居所,解锁田园风格家居+农业效率+20%,marriage,温馨质朴的农家小屋
an,home_feature,谷仓扩建,解锁大型谷仓+存储空间翻倍,marriage_7days,储存丰收的好地方
an,home_feature,农具收藏,解锁古董农机+特殊工具,marriage_30days,安收藏的传统农具
song,home_feature,夫妻商铺,解锁专属店铺+交易税减免50%,marriage,线上线下同步经营
song,home_feature,藏宝库,解锁地下藏宝室+稀有物品储存,marriage_7days,贵重物品的安全存放
song,home_feature,商业情报,解锁信息板+市场预测,marriage_30days,松的商业网络
wanxing,home_feature,星空穹顶,解锁星空穹顶+观星精度+100%,marriage,在卧室也能仰望星空
wanxing,home_feature,占卜室,解锁占卜空间+稀有预言,marriage,预测未来的神秘空间
wanxing,home_feature,星图收藏,解锁星图库+天文知识,marriage_30days,历代星图手稿
xiaoman,home_feature,夫妻茶田,解锁专属茶田+茶叶品质+30%,marriage,种植夫妻共同培育的茶
xiaoman,home_feature,制茶工坊,解锁私人茶作坊+制茶效率+35%,marriage,专属的制茶空间
xiaoman,home_feature,茶叶收藏,解锁茶窖+茶叶陈化加速,marriage_30days,珍藏各年份好茶
mo,home_feature,锻造工作室,解锁私人锻造间+锻造效率+25%,marriage,安静专注的锻造空间
mo,home_feature,矿石收藏,解锁矿石陈列+鉴定技能,marriage_7days,来自各地的珍稀矿石
mo,home_feature,图纸收藏,解锁图纸库+制作配方,marriage_30days,历代匠人心血
lin,home_feature,祠堂偏殿,解锁夫妻祠堂+祭祀效果+30%,marriage,供奉共同祖先
lin,home_feature,修行静室,解锁冥想空间+修行效率+25%,marriage,静心修行的圣地
lin,home_feature,古籍传承,解锁传承典籍+特殊技能,marriage_30days,历代祭祀心得
yan,home_feature,铸剑工坊,解锁私人铸剑室+武器品质+25%,marriage,打造神兵利器
yan,home_feature,兵刃收藏,解锁兵器陈列+鉴定技能,marriage_7days,历代名刀名剑
yan,home_feature,熔炉升级,解锁特殊熔炉+锻造成功率+20%,marriage_30days,严的独家熔炉
