# 鱼类赠礼偏好表

```csv
NpcId,FishId,Preference
lin,cloudCarp,loved
lin,tideKoi,disliked
wanxing,mistEel,loved
wanxing,moonPetunia,disliked
xiaoman,rainDewFish,loved
xiaoman,starfish,disliked
acha,springCharm,loved
acha,tideKoi,disliked
xuanqing,spiritWisp,loved
xuanqing,primordialKun,disliked
song,summerFlame,loved
song,autumnLeaf,disliked
yu,starfish,loved
yu,moonPetunia,disliked
mo,cloudDragon,loved
mo,spiritWisp,disliked
qiao,rainDewFish,loved
qiao,winterCrystal,disliked
he,cloudCarp,loved
he,tideKoi,disliked
ning,springCharm,loved
ning,summerFlame,disliked
an,autumnLeaf,loved
an,winterCrystal,disliked
shu,starfish,loved
shu,cloudDragon,disliked
yan,mistEel,loved
yan,springCharm,disliked
```
