Id,Name,BasePrice,SellPrice,ItemType,Description,Tags
turnip,萝卜,20,10,Vegetable,新鲜的萝卜，营养丰富,food;basic
cabbage,白菜,30,15,Vegetable,翠绿的白菜，维生素丰富,food;basic
tomato,番茄,40,20,Vegetable,红彤彤的番茄，酸甜可口,food;summer
pepper,辣椒,50,25,Vegetable,火红的辣椒，开胃提神,food;summer;spicy
corn,玉米,60,30,Grain,金黄的玉米，饱腹感强,food;summer
pumpkin,南瓜,80,40,Vegetable,圆滚滚的南瓜，可做佳肴,food;autumn
potato,土豆,25,12,Vegetable,土里的宝藏，可做多种料理,food;basic
wheat,小麦,15,8,Grain,金黄的麦穗，磨粉做面,food;autumn
tea_cloud,云雾茶,50,30,Tea,清淡回甘的日常茶饮,drink;basic
tea_fire,烈焰红,120,80,Tea,火属性灵茶，温暖身心,drink;rare
tea_water,清泉绿,80,50,Tea,水属性灵茶，清热解毒,drink;fine
tea_spirit,灵芽茶,300,200,Tea,传说中的灵茶，可与茶灵沟通,drink;legendary
herb_healing,回复草,15,8,Herb,基础的恢复类草药,herb;healing
herb_mana,灵力草,20,10,Herb,恢复灵力的草药,herb;mana
herb_rare,灵芝,100,60,Herb,稀有的灵芝，可入药,herb;rare
seed_turnip,萝卜种子,10,5,Seed,萝卜种子x5,seed;basic
seed_cabbage,白菜种子,15,8,Seed,白菜种子x5,seed;basic
seed_tomato,番茄种子,20,10,Seed,番茄种子x5,seed;summer
