作物名称,季节,生长天数,基础卖价,最高品质卖价,特殊效果或用途,喜好角色
云雾米,春/夏,12,80,320,做饭基础材料,阿巳/老槐
翠竹笋,春,8,120,450,增加体力回复,雾川/素锦
蜜桃,夏,18,150,580,送礼好感+高,阿茶/小满
秋红薯,秋,10,90,380,可做成多种料理,秋棠
雪莲根,冬,15,200,750,抗寒buff,晚星/玄清
金丝南瓜,夏/秋,14,110,420,做南瓜灯（装饰）,锦时
雾椒,夏,9,95,360,做辣酱并提升战斗伤害,雾川
茶油果,秋,22,180,680,提取茶油（高级料理/肥料）,茶九
蓝莓丛,夏,16,130,520,可多次采摘,小满
灵芝草,秋/冬,25,250,950,制作高级药剂,玄清
紫云豆,春,11,85,340,做豆腐并增加好感,阿茶
星芒草,全季,7,60,280,基础饲料,所有灵兽饲育师
岩蜜瓜,夏,20,160,610,恢复大量体力,秋棠
霜叶菜,冬,13,105,430,冬日限定料理,烟萝
云耳,春/秋,10,140,550,做汤增加灵气,素锦
火龙果,夏,24,220,880,稀有且浓云海易灵化,晚星
古藤瓜,秋,15,135,510,制作装饰藤蔓,锦时
雪绒花,冬,18,190,720,制作冬季香氛,烟萝
