# =============================================================================
# 美术资源主题配置 (Sprite Themes)
# =============================================================================
# 用途：定义多套美术资源皮肤，支持主题切换
# 使用方式：
#   1. 在此表注册主题
#   2. 每个主题对应一个 sprite_mapping_*.csv
#   3. 运行时可切换主题
# =============================================================================

Id,Name,DisplayName,MappingCsv,Description
# =============================================================================
# 默认主题
default,默认主题,默认主题,sprite_mapping.csv,云海山庄默认美术资源
# =============================================================================
# 季节主题 (未来可扩展)
# spring,春季主题,spring_theme,assets/configs/sprite_mapping_spring.csv,春天色调美术资源
# summer,夏季主题,summer_theme,assets/configs/sprite_mapping_summer.csv,夏天色调美术资源
# autumn,秋季主题,autumn_theme,assets/configs/sprite_mapping_autumn.csv,秋天色调美术资源
# winter,冬季主题,winter_theme,assets/configs/sprite_mapping_winter.csv,冬天色调美术资源
# =============================================================================
# 特殊主题
# high_contrast,高对比度,high_contrast,assets/configs/sprite_mapping_high_contrast.csv,高对比度无障碍主题
# retro,复古像素,retro,assets/configs/sprite_mapping_retro.csv,复古像素风主题
