Id,NpcId,EventType,Title,TriggerCondition,TriggerDay,Location,DialogueGroup,Reward,FollowUpEvent
married_acha_1,acha,daily,晨起茶香,on_wake,any,home_bedroom,married_acha_wake,relationship_exp:10,married_acha_2
married_acha_2,acha,daily,共进早餐,on_breakfast,any,home_kitchen,married_acha_breakfast,stamina:10,married_acha_3
married_acha_3,acha,daily,茶园巡视,on_morning_work,any,tea_garden,married_acha_work,tea_exp:5,married_acha_4
married_acha_4,acha,daily,午后茶点,on_afternoon_relax,any,home_tea_room,married_acha_relax,relationship_exp:15,married_acha_5
married_acha_5,acha,daily,傍晚漫步,on_evening_walk,any,cloud_path,married_acha_walk,relationship_exp:10,married_acha_6
married_acha_6,acha,daily,夜话时光,on_night_chat,any,home_bedroom,married_acha_night,relationship_exp:20,married_acha_1
married_acha_week,acha,weekly,周末特供,on_weekend,any,tea_workshop,married_acha_weekend,tea_cloudx2,married_acha_1
married_acha_season,acha,seasonal,季节茶会,on_season_change,any,cloud_pavilion,married_acha_season,season_tokenx1,married_acha_1
married_yu_1,yu,daily,晨读时光,on_wake,any,home_study,married_yu_wake,relationship_exp:10,married_yu_2
married_yu_2,yu,daily,学术讨论,on_morning_work,any,library,married_yu_work,study_exp:5,married_yu_3
married_yu_3,yu,daily,午后研习,on_afternoon_relax,any,home_study,married_yu_relax,study_exp:10,married_yu_4
married_yu_4,yu,daily,夜观星象,on_night_chat,any,observation_platform,married_yu_night,stardust:1,married_yu_1
married_qiao_1,qiao,daily,画室相伴,on_wake,any,home_art_studio,married_qiao_wake,relationship_exp:10,married_qiao_2
married_qiao_2,qiao,daily,灵感采风,on_morning_work,any,outdoor,married_qiao_work,painting_progress:5,married_qiao_3
married_qiao_3,qiao,daily,画展筹备,on_afternoon_relax,any,art_gallery,married_qiao_relax,relationship_exp:15,married_qiao_4
married_qiao_4,qiao,daily,画中人生,on_night_chat,any,home_art_studio,married_qiao_night,painting_finished:1,married_qiao_1
married_he_1,he,daily,温泉晨浴,on_wake,any,hot_spring,married_he_wake,stamina:20,married_he_2
married_he_2,he,daily,药膳料理,on_morning_work,any,home_kitchen,married_he_work,cooking_exp:5,married_he_3
married_he_3,he,daily,问诊时间,on_afternoon_relax,any,clinic,married_he_relax,relationship_exp:15,married_he_4
married_he_4,he,daily,温泉夜话,on_night_chat,any,hot_spring,married_he_night,relationship_exp:20,married_he_1
married_ning_1,ning,daily,花园晨曦,on_wake,any,flower_field,married_ning_wake,relationship_exp:10,married_ning_2
married_ning_2,ning,daily,花田劳作,on_morning_work,any,flower_field,married_ning_work,farm_exp:5,married_ning_3
married_ning_3,ning,daily,花艺创作,on_afternoon_relax,any,home_garden,married_ning_relax,relationship_exp:15,married_ning_4
married_ning_4,ning,daily,夜赏百花,on_night_chat,any,flower_field,married_ning_night,flower_bloom:1,married_ning_1
