week,stage,module,owner,task,deliverable,acceptance
1,地基搭建,程序,程序,角色控制与交互检测,可移动可交互角色控制器,八方向移动与交互可用
1,地基搭建,美术,美术,基础地图与比例规范,基础Tilemap场景,地图可加载并可行走
1,地基搭建,策划,策划,配置表导出流程,基础作物CSV,程序可读表成功
2,地基搭建,程序,程序,时间系统与云海状态机,游戏时钟与云海切换,右上角时间与状态可见
2,地基搭建,美术,美术,云雾视觉原型,晴薄雾浓云海三态效果,状态切换视觉明显
3,农业核心,程序,程序,耕种全流程,可播种到收获逻辑,生长受云海系数影响
3,农业核心,美术,美术,作物与灵茶生长帧,两类作物4阶段动画,阶段切换正常
3,农业核心,策划,策划,首批作物数值平衡,作物平衡表v1,第1年收益可玩
4,经营核心,程序,程序,修缮与工坊逻辑,资源扣除与状态替换,主屋可修复+可加工
4,经营核心,美术,美术,主屋双状态与机器,破损/修复主屋+炒茶机,状态切换可见
5,灵兽雏形,程序,程序,灵兽寻路与互动,灵兽基础AI,可跟随并触发互动反馈
5,灵兽雏形,美术,美术,灵兽行走动画,云狐/雾鹿四向动作,动作流畅可循环
6,社交雏形,程序,程序,NPC对话与送礼,对话系统接入+好感判定,NPC可对话并收礼
6,社交雏形,美术,美术,NPC立绘与像素体,NPC资源包v1,场景中表现正常
7,打磨阶段,程序美术,联合,UI与反馈增强,HUD与灵气反馈,核心信息可读
7,打磨阶段,音效,音频,环境与状态音效,脚步/风声/BGM包v1,听感与状态匹配
8,Demo产出,QA程序,联合,7日连续测试与修复,Demo v0.1,无阻断Bug可打包
