id,name,weapon_type,element,base_attack,purify_rate_bonus,crit_chance_bonus,crit_multiplier_bonus,energy_recover_bonus,skill_cooldown_scale,quality,effects,description
weapon_bamboo_sling,竹制弹弓,ranged,wind,22,0.05,0.02,0.10,0.00,1.00,1,,简单的竹制弹弓，适合新手使用
weapon_wooden_staff,木灵法杖,caster,neutral,18,0.08,0.01,0.05,0.05,1.05,1,,基础的木制法杖，能缓慢回复能量
weapon_stone_axe,石质战斧,melee,earth,25,0.03,0.03,0.08,0.00,1.00,1,,笨重的石质战斧，攻击力尚可
weapon_cloud_blade,云纹长刃,melee,cloud,30,0.10,0.03,0.20,0.00,0.95,2,,刻有云纹的长刃，能引发云涌净化
weapon_mist_fan,雾隐扇,ranged,cloud,26,0.12,0.02,0.15,0.10,1.00,2,energy_on_hit=0.15,雾之扇子，攻击时回复能量
weapon_wind_chime,风铃法器,caster,wind,28,0.09,0.04,0.18,0.05,0.98,2,,悬挂风铃的法器，净化效率优秀
weapon_tide_staff,潮汐法杖,caster,cloud,34,0.14,0.02,0.22,0.18,1.00,3,tide_bonus=1.15,潮汐法杖，大潮时净化效率大幅提升
weapon_orchid_whip,兰灵软鞭,melee,light,32,0.12,0.05,0.25,0.08,0.92,3,purify_aoe=1.1,兰灵化成的软鞭，带有净化光环
weapon_crystal_bow,晶芒长弓,ranged,light,36,0.11,0.06,0.28,0.00,0.90,3,crit_bonus=0.1,晶体雕琢的长弓，暴击率优秀
weapon_starlight_bow,星辉长弓,ranged,light,40,0.15,0.08,0.32,0.08,0.88,4,starlight_bonus=1.2,汇聚星辉的长弓，星光下威力倍增
weapon_nether_sickle,幽冥镰刃,melee,dark,42,0.18,0.05,0.35,0.00,0.85,4,dark_purify=1.25,幽冥之力淬炼的镰刃，暗属性净化极强
weapon_cloud_flute,云海长笛,caster,cloud,38,0.16,0.04,0.30,0.25,0.90,4,partner_boost=1.15,云海化成的长笛，能增强灵兽伙伴
weapon_chaos_reaper,混沌收割者,melee,neutral,50,0.22,0.10,0.40,0.10,0.80,5,all_weather=1.15,传说中的混沌收割者，无视天气影响
weapon_tide_dragon_staff,潮龙法杖,caster,cloud,48,0.20,0.08,0.38,0.30,0.82,5,tide_mastery=1.3,潮龙之魂融入的法杖，潮汐时无人能挡
weapon_aurora_blade,极光裁决,melee,light,52,0.25,0.12,0.45,0.15,0.78,5,aurora_domain=1.25,极光淬炼的裁决之刃，开启极光领域
weapon_festival_wand,节日花杖,caster,light,20,0.30,0.05,0.20,0.20,1.00,2,festival_boost=1.5,节日特制的花杖，节日期间净化效率惊人
weapon_bamboo_rain,竹雨杖,caster,cloud,28,0.18,0.03,0.25,0.15,0.95,3,rain_bonus=1.35,春雨滋润的竹杖，雨季净化效率大幅提升
