Id,QuestName,Type,Chapter,Description,Objective1,Objective2,Objective3,DialogueStart,DialogueMid,DialogueEnd,RewardItem1,RewardItem2,RewardExp,RewardGold,RequiredFavor,RequiredItems
main_ch1_1,梦中醒来,Main,ch1_1,熟悉云海山庄的环境,与管家对话,探索主屋,探索茶园,intro_01,intro_02,intro_03,woodx3,seed_tea_basicx1,100,200,0,-
main_ch1_2,初识灵茶,Main,ch1_2,学习采茶的基础知识,找到采茶篮,前往茶园,完成采茶教程,-,teaching_01,teaching_02,seed_tea_basicx2,tool_basketx1,150,250,0,-
main_ch1_3,第一份收获,Main,ch1_3,收获第一批灵茶,采收3份茶叶,带回主屋,与管家分享,harvest_01,harvest_02,harvest_03,tea_bud_freshx3,spirit_stonex1,200,300,1,-
main_ch1_4,灵界初探,Main,ch1_4,探索灵界,前往灵界入口,击败1只污染灵,返回山庄,spirit_01,spirit_02,spirit_03,cloud_essencex3,pickaxe_basix1,250,350,2,cloud_essencex3
main_ch1_5,净化初成,Main,ch1_5,学会净化技能,收集3个云雾精华,使用净化技能,击败2只污染灵,purify_01,purify_02,purify_03,sprit_stonex1,herb_healingx3,300,400,3,cloud_essencex3
main_ch2_1,茶园扩张,Main,ch2_1,扩大茶园规模,清理茶园土地,种植新茶苗,浇灌茶园,expansion_01,expansion_02,expansion_03,seed_tea_greenteax2,watering_canx1,400,500,4,-
main_ch2_2,制茶进阶,Main,ch2_2,学习进阶制茶技术,与阿茶对话,收集10份茶叶,完成制茶,craft_01,craft_02,craft_03,tool_tea_pot_advx1,tea_cloudx2,500,600,5,tea_leafx10
main_ch2_3,结识伙伴,Main,ch2_3,认识更多NPC,找到小满,与于对话,找晴对话,meet_01,meet_02,meet_03,flower_rarex2,heart_charmx1,600,700,5,-
main_ch2_4,灵兽初遇,Main,ch2_4,获得第一只灵兽,进入浓云海,救治云狐幼崽,带回山庄,beast_01,beast_02,beast_03,pet_foodx5,cloud_fox_babyx1,700,800,6,-
main_ch2_5,茶会初办,Main,ch2_5,举办第一次茶会,邀请NPC,准备茶点,举办茶会,tea_party_01,tea_party_02,tea_party_03,tea_cloudx3,social_tokenx5,900,1000,8,tea_cloudx5
main_ch3_1,阴影初现,Main,ch3_1,发现云海的异常,调查异常区域,收集情报,与阿茶讨论,danger_01,danger_02,danger_03,dark_essencex2,void_crystalx1,1000,1200,10,-
main_ch3_2,污染扩散,Main,ch3_2,调查污染源,收集5个虚空水晶,分析污染样本,追踪污染源,investigate_01,investigate_02,investigate_03,void_crystalx3,spirit_stonex3,1200,1500,12,void_crystalx5
main_ch3_3,界影狼现,Main,ch3_3,遇见神秘的界影狼,进入虚空裂隙,遭遇界影狼,建立羁绊,shadow_01,shadow_02,shadow_03,beast_shadow_wolf_1,pet_foodx10,1500,1800,14,-
main_ch3_4,虚空裂隙,Main,ch3_4,探索虚空裂隙深处,收集3个混沌碎片,击败虚空守卫,净化核心,void_01,void_02,void_03,chaos_shardx2,void_crystalx5,1800,2000,15,chaos_shardx3
main_ch3_5,危机暂解,Main,ch3_5,暂时阻止污染扩散,与NPC合作,完成净化仪式,返回山庄,crisis_01,crisis_02,crisis_03,spirit_stonex5,cloud_crystalx3,2000,2500,16,chaos_shardx5
main_ch4_1,梦境之谜,Main,ch4_1,探索梦境世界,进入梦境入口,收集3个梦境精华,找到出口,dream_01,dream_02,dream_03,dream_essencex3,mist_crystalx5,2500,3000,18,-
main_ch4_2,花田秘境,Main,ch4_2,发现隐藏的花田秘境,找到花田入口,收集5朵绽放之花,探索秘境,flower_01,flower_02,flower_03,flower_bloomx5,flower_seedx3,3000,3500,20,-
main_ch4_3,云梦蝶现,Main,ch4_3,遇见云梦蝶,与云梦蝶交流,完成试炼,建立羁绊,dream_beast_01,dream_beast_02,dream_beast_03,beast_cloud_dream_1,pet_foodx10,3500,4000,22,-
main_ch4_4,梦醒时分,Main,ch4_4,解除梦境中的危机,收集5个梦境精华,击败梦魇领主,解除梦境,nightmare_01,nightmare_02,nightmare_03,dream_essencex5,celestial_essencex2,4000,4500,24,dream_essencex5
main_ch4_5,星尘鹿踪,Main,ch4_5,追踪星尘鹿的踪迹,调查星空异常,收集2个星尘,找到星尘鹿,star_01,star_02,star_03,stardustx2,star_charmx1,4500,5000,25,-
main_ch5_1,星陨深渊,Main,ch5_1,进入星陨深渊,与NPC告别,进入深渊,击败首批守卫,stardust_01,stardust_02,stardust_03,stardustx5,void_crystalx5,5000,6000,28,-
main_ch5_2,银河领主,Main,ch5_2,击败银河领主,找到银河领主,收集银河之心,击败银河领主,galaxy_01,galaxy_02,galaxy_03,galaxy_heartx1,celestial_essencex5,6000,7000,30,galaxy_heartx1
main_ch5_3,星尘鹿归,Main,ch5_3,获得星尘鹿,与星尘鹿交流,完成星尘试炼,建立羁绊,star_deer_01,star_deer_02,star_deer_03,beast_stardust_deer_1,stardustx10,7000,8000,32,-
main_ch5_4,玉泉之秘,Main,ch5_4,探索玉泉的秘密,找到玉泉位置,收集10个水之精华,发现玉泉秘密,water_01,water_02,water_03,water_essencex10,jade_crystalx3,8000,9000,35,-
main_ch5_5,玉泉鹿现,Main,ch5_5,遇见玉泉鹿,与玉泉鹿交流,完成试炼,建立羁绊,jade_deer_01,jade_deer_02,jade_deer_03,beast_jade_spring_1,celestial_essencex5,9000,10000,38,-
main_ch6_1,混沌前兆,Main,ch6_1,感知混沌之力的逼近,调查异常,收集5个混沌精华,返回山庄,chaos_01,chaos_02,chaos_03,chaos_essencex5,void_crystalx5,10000,12000,40,-
main_ch6_2,太初遗迹,Main,ch6_2,发现太初遗迹,追踪混沌源头,找到遗迹入口,探索遗迹,origin_01,origin_02,origin_03,origin_fragmentx3,chaos_shardx5,12000,15000,42,origin_fragmentx3
main_ch6_3,龙魂觉醒,Main,ch6_3,唤醒龙魂力量,收集5个龙鳞,激活龙魂,获得龙魂力量,dragon_01,dragon_02,dragon_03,dragon_scalex5,spirit_stonex10,15000,18000,45,dragon_scalex5
main_ch6_4,凤凰涅槃,Main,ch6_4,帮助凤凰涅槃,收集3根凤凰羽,激活凤凰,获得凤凰力量,phoenix_01,phoenix_02,phoenix_03,phoenix_featherx3,fire_essencex10,18000,20000,48,phoenix_featherx3
main_ch6_5,混沌之源,Main,ch6_5,面对混沌之源,进入混沌领域,收集5个起源碎片,面对混沌之源,chaos_origin_01,chaos_origin_02,chaos_origin_03,chaos_essencex10,origin_fragmentx5,20000,25000,50,origin_fragmentx5
main_ch6_6,云海重光,Main,ch6_6,最终净化云海,与所有伙伴合作,完成终极净化,迎接新未来,final_01,final_02,final_03,cloud_crystalx10,galaxy_heartx1,25000,30000,52,-
side_tea_master,茶道宗师,Side,0,成为制茶大师,制作100份灵茶,品质达到优秀,传授技艺,tea_master_01,tea_master_02,tea_master_03,tea_pot_legendx1,tea_cloud_premiumx10,5000,3000,20,tea_cloudx50
side_beast_friend,灵兽之友,Side,0,与所有灵兽建立羁绊,收集10种灵兽,达到3心以上,完成羁绊,beast_friend_01,beast_friend_02,beast_friend_03,pet_premium_foodx20,beast_trophyx1,8000,5000,25,-
side_cloud_guardian,云海守护者,Side,0,守护云海的和平,完成100次净化,击败50只污染灵,守护云海,guardian_01,guardian_02,guardian_03,cloud_crownx1,spirit_stonex20,10000,8000,30,-
side_tea_spirit,茶灵收集者,Side,0,收集所有茶灵,收集10种茶灵,完成茶灵试炼,解锁茶灵王,tea_spirit_01,tea_spirit_02,tea_spirit_03,tea_spirit_crownx1,tea_jade_premiumx5,6000,4000,15,-
side_ecology_master,生态大师,Side,0,成为生态大师,灵气值达到10000,元素平衡100%,装饰全部放置,eco_master_01,eco_master_02,eco_master_03,eco_spirit_crownx1,spirit_stonex15,7000,4500,22,-
