Id,Name,SpriteId,BaseHealth,BaseAttack,BaseDefense,BaseSpeed,SkillIds,ElementType,EvolutionStage,EvolutionCondition,DropItems,Description,LootTable,IsBoss,IsRare
spirit_cloud_wisp,云雾灵,cloud_wisp,50,10,5,15,cloud_touch;cloud_shield,Cloud,1,,cloud_essence,轻盈的云雾之灵,cloud_wisp_loot,0,0
spirit_flame_imp,焰火魔,flame_imp,80,25,10,12,fire_ball;burning_grip,Fire,1,,fire_essence,暴躁的火焰精灵,flame_imp_loot,0,0
spirit_water_sprite,水精灵,water_sprite,60,15,15,18,water_blast;healing_mist,Water,1,,water_essence,温和的水系灵体,water_sprite_loot,0,0
spirit_earth_golem,土岩傀儡,earth_golem,150,20,30,5,rock_throw;earth_wall,Earth,1,,earth_essence,笨重但强力的土元素,earth_golem_loot,0,0
spirit_wind_faerie,风妖精,wind_faerie,40,12,8,25,wind_slice;cyclone,Wind,1,,wind_essence,敏捷的风之精灵,wind_faerie_loot,0,0
spirit_void_shade,虚空暗影,void_shade,100,30,15,20,shadow_strike;void_bolt,Dark,1,,dark_essence,来自虚空的神秘存在,void_shade_loot,0,0
spirit_holy_guard,圣光守护,holy_guard,120,15,40,10,holy_strike;divine_shield,Holy,1,,holy_essence,神圣的光之守护者,holy_guard_loot,0,0
spirit_thunder_herald,雷霆使者,thunder_herald,70,35,12,22,thunder_bolt;chain_lightning,Lightning,1,,thunder_essence,掌控雷电的灵体,thunder_herald_loot,0,0
spirit_ice_spirit,冰霜精灵,ice_spirit,90,22,18,14,ice_shard;frost_aura,Water,1,,ice_crystal,寒冷的冰系灵体,ice_spirit_loot,0,0
spirit_frost_herald,霜岚使者,frost_herald,110,28,20,16,frost_nova;blizzard_call,Water,2,,blizzard_shard,凛冬的使者,frost_herald_loot,0,0
spirit_fire_golem,熔岩傀儡,fire_golem,200,35,40,8,magma_strike;lava_flow,Fire,2,,molten_core,炽热的火焰傀儡,fire_golem_loot,0,1
spirit_tide_guardian,潮汐守护,tide_guardian,180,30,35,12,tidal_wave;sea_shield,Water,2,,tide_pearl,守护潮汐之桥的灵体,tide_guardian_loot,0,1
spirit_corruption_spirit,堕落灵,corruption_spirit,130,38,18,22,corruption_bolt;dark_heal,Dark,2,,corruption_shard,被污染的灵体,corruption_loot,0,0
spirit_flower_faerie,花之妖精,flower_faerie,70,18,12,28,petal_storm;healing_pollen,Wind,1,,spirit_rose,花园中的美丽精灵,flower_faerie_loot,0,0
spirit_dream_nightmare,梦魇精灵,dream_nightmare,100,32,15,24,nightmare_mist;confuse,Dark,2,,nightmare_essence,引发噩梦的精灵,dream_nightmare_loot,0,0
spirit_void_lord,虚空领主,void_lord,350,55,45,15,void_collapse;dark_barrage,Void,3,,void_crystal,幽冥殿堂的统治者,void_lord_loot,0,1
spirit_celestial_guardian,星辰守护,celestial_guardian,300,50,40,18,stardust_rain;cosmic_strike,Void,3,,celestial_essence,守护星陨瀑布的灵体,celestial_guardian_loot,0,1
spirit_star_herald,星尘使者,star_herald,140,42,22,26,star_arrow;meteor_shower,Void,2,,stardust,传递星辰意志的使者,star_herald_loot,0,0
spirit_dragon_spirit,龙魂,dragon_spirit,280,60,50,20,dragon_fang;dragon_aura,Fire,3,,dragon_scale,拥有龙之力量的精灵,dragon_spirit_loot,0,1
spirit_galaxy_lord,银河领主,galaxy_lord,450,70,55,18,galaxy_strike;cosmic_domain,Void,4,,galaxy_heart,天道之路的最终守护,galaxy_lord_loot,0,1
spirit_phoenix_essence,凤凰精魂,phoenix_essence,200,65,30,30,rebirth_flame;phoenix_dive,Fire,3,,phoenix_feather,传说中凤凰的精魂,phoenix_essence_loot,0,0
spirit_chaos_origin,混沌之源,chaos_origin,800,90,70,25,chaos_bolt;primordial_wrath,All,4,,chaos_essence;origin_fragment,太初混沌的具现,chaos_origin_loot,0,1
spirit_chaos_guardian,混沌守卫,chaos_guardian,400,75,60,22,chaos_strike;void_shield,All,3,,chaos_shard,守护混沌源的精英,chaos_guardian_loot,0,0
